Flight ID,Origin,Destination,Route Distance (km),Waypoints (List),Traffic (Intersecting Flights),Tailwind (knots),Headwind (knots),Jet Stream Impact,Restrictions (Details),Drones/Air Taxis,Bird Movement,Airspace Density,Seasonal Pattern,Fuel Cost (Segment),Historical Delay (mins)
FL1000,BOM,BLR,1356,"[{""lat"": 21.015, ""long"": -24.6567, ""alt"": 10000, ""time"": ""7:47""}, {""lat"": -39.2136, ""long"": -105.208, ""alt"": 25000, ""time"": ""20:41""}, {""lat"": 2.9867, ""long"": 53.955, ""alt"": 20000, ""time"": ""21:42""}, {""lat"": 3.5774, ""long"": 77.8508, ""alt"": 20000, ""time"": ""16:42""}, {""lat"": -28.101, ""long"": -113.3568, ""alt"": 10000, ""time"": ""4:53""}, {""lat"": -66.4717, ""long"": -95.3119, ""alt"": 15000, ""time"": ""21:14""}]","[{""flight_id"": ""INT6603"", ""alt"": 15000, ""time"": ""15:57"", ""wp"": ""WP2""}, {""flight_id"": ""INT2166"", ""alt"": 15000, ""time"": ""1:21"", ""wp"": ""WP4""}]",14,27,Negative,"[{""type"": ""Govt"", ""wp"": ""WP5""}, {""type"": ""Govt"", ""wp"": ""WP4""}]","[{""alt"": 138, ""time"": ""8:51""}]","[{""zone"": ""Near Airport"", ""alt"": [2539, 4045], ""time_range"": ""7:39-18:16""}]",Low,Monsoon,0.47,4
FL1001,DEL,HYD,1288,"[{""lat"": 8.3443, ""long"": -106.4256, ""alt"": 15000, ""time"": ""21:20""}, {""lat"": 54.6514, ""long"": -32.9695, ""alt"": 20000, ""time"": ""6:28""}, {""lat"": 78.5042, ""long"": 102.3301, ""alt"": 30000, ""time"": ""4:57""}, {""lat"": -49.0366, ""long"": 93.1822, ""alt"": 25000, ""time"": ""15:37""}, {""lat"": 24.3319, ""long"": -6.673, ""alt"": 15000, ""time"": ""8:12""}, {""lat"": 49.525, ""long"": -64.045, ""alt"": 25000, ""time"": ""8:48""}, {""lat"": -32.6659, ""long"": 68.2772, ""alt"": 25000, ""time"": ""5:03""}]","[{""flight_id"": ""INT8251"", ""alt"": 15000, ""time"": ""18:45"", ""wp"": ""WP2""}, {""flight_id"": ""INT7793"", ""alt"": 15000, ""time"": ""16:34"", ""wp"": ""WP3""}, {""flight_id"": ""INT1016"", ""alt"": 15000, ""time"": ""14:39"", ""wp"": ""WP3""}, {""flight_id"": ""INT6161"", ""alt"": 15000, ""time"": ""9:32"", ""wp"": ""WP1""}]",13,5,Positive,"[{""type"": ""Noise Sensitive"", ""wp"": ""WP3""}, {""type"": ""War Zone"", ""wp"": ""WP5""}]","[{""alt"": 445, ""time"": ""9:18""}]","[{""zone"": ""Near Airport"", ""alt"": [2209, 3402], ""time_range"": ""9:48-18:09""}]",Medium,Summer,0.44,29
FL1002,HYD,MAA,713,"[{""lat"": -24.4006, ""long"": -131.3939, ""alt"": 25000, ""time"": ""2:31""}, {""lat"": -45.9954, ""long"": 56.0624, ""alt"": 25000, ""time"": ""3:57""}, {""lat"": -50.6769, ""long"": -21.28, ""alt"": 20000, ""time"": ""3:18""}, {""lat"": -87.7216, ""long"": 91.5201, ""alt"": 20000, ""time"": ""0:11""}, {""lat"": 22.3782, ""long"": -136.9545, ""alt"": 25000, ""time"": ""7:51""}, {""lat"": 56.2365, ""long"": -29.8953, ""alt"": 30000, ""time"": ""8:15""}, {""lat"": 66.0128, ""long"": -100.7577, ""alt"": 30000, ""time"": ""8:42""}]","[{""flight_id"": ""INT4146"", ""alt"": 15000, ""time"": ""14:59"", ""wp"": ""WP1""}, {""flight_id"": ""INT4835"", ""alt"": 15000, ""time"": ""21:08"", ""wp"": ""WP4""}, {""flight_id"": ""INT1451"", ""alt"": 25000, ""time"": ""16:47"", ""wp"": ""WP3""}, {""flight_id"": ""INT8851"", ""alt"": 15000, ""time"": ""3:45"", ""wp"": ""WP4""}, {""flight_id"": ""INT4412"", ""alt"": 25000, ""time"": ""3:36"", ""wp"": ""WP1""}]",0,17,Negative,"[{""type"": ""Govt"", ""wp"": ""WP3""}, {""type"": ""Noise Sensitive"", ""wp"": ""WP5""}]",[],"[{""zone"": ""Near Airport"", ""alt"": [2556, 5983], ""time_range"": ""6:58-21:56""}]",High,Summer,0.78,6
FL1003,BOM,VGA,199,"[{""lat"": 18.943, ""long"": 26.5155, ""alt"": 25000, ""time"": ""14:37""}, {""lat"": 47.7799, ""long"": 174.769, ""alt"": 20000, ""time"": ""4:00""}, {""lat"": -28.0573, ""long"": 45.106, ""alt"": 25000, ""time"": ""6:57""}, {""lat"": -25.8272, ""long"": 0.505, ""alt"": 20000, ""time"": ""10:58""}, {""lat"": 89.5732, ""long"": 124.8649, ""alt"": 20000, ""time"": ""22:46""}, {""lat"": -35.1359, ""long"": 86.8583, ""alt"": 25000, ""time"": ""14:39""}, {""lat"": -50.2881, ""long"": 69.1593, ""alt"": 20000, ""time"": ""23:43""}, {""lat"": -31.0554, ""long"": -58.1944, ""alt"": 20000, ""time"": ""2:27""}, {""lat"": -5.9744, ""long"": -96.3289, ""alt"": 25000, ""time"": ""21:25""}, {""lat"": -37.3505, ""long"": -140.2381, ""alt"": 25000, ""time"": ""7:22""}, {""lat"": 12.9722, ""long"": 41.7742, ""alt"": 30000, ""time"": ""18:42""}, {""lat"": 65.8702, ""long"": 86.2664, ""alt"": 15000, ""time"": ""18:46""}, {""lat"": 32.959, ""long"": 85.7215, ""alt"": 10000, ""time"": ""12:54""}, {""lat"": -21.6335, ""long"": 21.8663, ""alt"": 30000, ""time"": ""21:22""}]","[{""flight_id"": ""INT5063"", ""alt"": 15000, ""time"": ""23:23"", ""wp"": ""WP3""}, {""flight_id"": ""INT3949"", ""alt"": 10000, ""time"": ""10:52"", ""wp"": ""WP4""}]",30,12,No Impact,"[{""type"": ""Noise Sensitive"", ""wp"": ""WP3""}, {""type"": ""Govt"", ""wp"": ""WP1""}]",[],"[{""zone"": ""City Area"", ""alt"": [1765, 5325], ""time_range"": ""8:08-19:44""}]",Medium,Monsoon,0.63,12
FL1004,VGA,MAA,245,"[{""lat"": 32.3101, ""long"": -106.4999, ""alt"": 15000, ""time"": ""5:21""}, {""lat"": -37.6537, ""long"": 83.9346, ""alt"": 10000, ""time"": ""18:14""}, {""lat"": -11.4344, ""long"": 20.6646, ""alt"": 30000, ""time"": ""6:21""}, {""lat"": -18.2017, ""long"": -14.9522, ""alt"": 10000, ""time"": ""20:07""}, {""lat"": 65.1242, ""long"": -28.4384, ""alt"": 25000, ""time"": ""1:57""}]","[{""flight_id"": ""INT5617"", ""alt"": 20000, ""time"": ""15:44"", ""wp"": ""WP4""}, {""flight_id"": ""INT2787"", ""alt"": 10000, ""time"": ""11:48"", ""wp"": ""WP3""}, {""flight_id"": ""INT5149"", ""alt"": 25000, ""time"": ""7:29"", ""wp"": ""WP3""}]",2,20,No Impact,"[{""type"": ""War Zone"", ""wp"": ""WP2""}, {""type"": ""Noise Sensitive"", ""wp"": ""WP2""}, {""type"": ""War Zone"", ""wp"": ""WP4""}]","[{""alt"": 358, ""time"": ""1:08""}, {""alt"": 471, ""time"": ""0:43""}, {""alt"": 400, ""time"": ""11:40""}]","[{""zone"": ""City Area"", ""alt"": [1966, 5083], ""time_range"": ""8:26-20:50""}]",Low,Winter,0.53,24
FL1005,VGA,HYD,1493,"[{""lat"": -28.3259, ""long"": -170.9236, ""alt"": 25000, ""time"": ""11:01""}, {""lat"": -72.1466, ""long"": -144.1293, ""alt"": 15000, ""time"": ""1:48""}, {""lat"": -32.0861, ""long"": -121.4196, ""alt"": 10000, ""time"": ""1:01""}, {""lat"": 22.3185, ""long"": -75.2549, ""alt"": 20000, ""time"": ""12:33""}, {""lat"": -83.9756, ""long"": -35.2161, ""alt"": 25000, ""time"": ""3:02""}, {""lat"": 2.9237, ""long"": -140.0544, ""alt"": 20000, ""time"": ""20:56""}, {""lat"": -17.9922, ""long"": 130.0469, ""alt"": 30000, ""time"": ""16:57""}, {""lat"": 14.452, ""long"": -0.8721, ""alt"": 30000, ""time"": ""18:18""}]","[{""flight_id"": ""INT8197"", ""alt"": 20000, ""time"": ""10:42"", ""wp"": ""WP3""}, {""flight_id"": ""INT2673"", ""alt"": 20000, ""time"": ""2:50"", ""wp"": ""WP4""}, {""flight_id"": ""INT5475"", ""alt"": 10000, ""time"": ""19:58"", ""wp"": ""WP1""}, {""flight_id"": ""INT8573"", ""alt"": 15000, ""time"": ""8:35"", ""wp"": ""WP4""}, {""flight_id"": ""INT9321"", ""alt"": 25000, ""time"": ""4:12"", ""wp"": ""WP3""}]",17,3,Positive,"[{""type"": ""War Zone"", ""wp"": ""WP2""}]","[{""alt"": 252, ""time"": ""8:32""}, {""alt"": 467, ""time"": ""2:18""}]","[{""zone"": ""Near Airport"", ""alt"": [2704, 4480], ""time_range"": ""9:20-22:30""}]",Low,Summer,0.69,6
FL1006,BOM,MAA,190,"[{""lat"": 25.3854, ""long"": -109.2929, ""alt"": 30000, ""time"": ""6:31""}, {""lat"": 45.3855, ""long"": -170.5949, ""alt"": 25000, ""time"": ""1:49""}, {""lat"": 31.2566, ""long"": -127.0944, ""alt"": 25000, ""time"": ""3:07""}, {""lat"": -57.1924, ""long"": 24.9607, ""alt"": 25000, ""time"": ""18:48""}, {""lat"": -35.4206, ""long"": 97.2097, ""alt"": 10000, ""time"": ""3:31""}, {""lat"": -13.8077, ""long"": -3.8913, ""alt"": 30000, ""time"": ""5:04""}]","[{""flight_id"": ""INT5044"", ""alt"": 20000, ""time"": ""9:29"", ""wp"": ""WP2""}, {""flight_id"": ""INT5831"", ""alt"": 25000, ""time"": ""23:52"", ""wp"": ""WP4""}, {""flight_id"": ""INT7153"", ""alt"": 15000, ""time"": ""0:14"", ""wp"": ""WP4""}, {""flight_id"": ""INT8741"", ""alt"": 15000, ""time"": ""17:23"", ""wp"": ""WP3""}]",21,14,Positive,"[{""type"": ""War Zone"", ""wp"": ""WP5""}]","[{""alt"": 111, ""time"": ""8:12""}, {""alt"": 262, ""time"": ""8:44""}]","[{""zone"": ""Near Airport"", ""alt"": [1154, 3265], ""time_range"": ""8:05-22:43""}]",Low,Summer,0.35,19
FL1007,VGA,BOM,447,"[{""lat"": -13.9838, ""long"": -14.056, ""alt"": 30000, ""time"": ""16:20""}, {""lat"": 61.0749, ""long"": 98.7492, ""alt"": 10000, ""time"": ""9:45""}, {""lat"": 44.0331, ""long"": 28.0884, ""alt"": 30000, ""time"": ""9:15""}, {""lat"": 4.9877, ""long"": -159.5544, ""alt"": 25000, ""time"": ""5:31""}, {""lat"": -69.8997, ""long"": -157.6812, ""alt"": 30000, ""time"": ""11:37""}, {""lat"": 54.5949, ""long"": -115.0482, ""alt"": 15000, ""time"": ""13:36""}, {""lat"": -32.4081, ""long"": -4.6564, ""alt"": 30000, ""time"": ""18:33""}, {""lat"": -20.5493, ""long"": -131.1973, ""alt"": 25000, ""time"": ""19:56""}, {""lat"": -34.0821, ""long"": 97.8614, ""alt"": 10000, ""time"": ""4:57""}, {""lat"": 48.597, ""long"": -25.9759, ""alt"": 20000, ""time"": ""7:45""}, {""lat"": -74.0685, ""long"": 138.4445, ""alt"": 30000, ""time"": ""14:56""}, {""lat"": 22.6985, ""long"": 148.956, ""alt"": 15000, ""time"": ""18:14""}, {""lat"": 44.7085, ""long"": -144.0982, ""alt"": 25000, ""time"": ""4:16""}]","[{""flight_id"": ""INT4430"", ""alt"": 10000, ""time"": ""5:20"", ""wp"": ""WP1""}, {""flight_id"": ""INT9092"", ""alt"": 10000, ""time"": ""3:30"", ""wp"": ""WP3""}, {""flight_id"": ""INT6678"", ""alt"": 25000, ""time"": ""23:57"", ""wp"": ""WP2""}]",24,4,No Impact,"[{""type"": ""Govt"", ""wp"": ""WP2""}, {""type"": ""War Zone"", ""wp"": ""WP2""}]",[],"[{""zone"": ""City Area"", ""alt"": [2458, 4078], ""time_range"": ""6:21-22:37""}]",Low,Winter,0.35,4
FL1008,BLR,BOM,851,"[{""lat"": 79.4307, ""long"": -52.0494, ""alt"": 15000, ""time"": ""23:06""}, {""lat"": -87.9961, ""long"": 41.6976, ""alt"": 20000, ""time"": ""9:27""}, {""lat"": -5.1014, ""long"": -116.1701, ""alt"": 10000, ""time"": ""23:42""}, {""lat"": -80.4287, ""long"": -125.5707, ""alt"": 15000, ""time"": ""5:28""}, {""lat"": -17.6962, ""long"": 105.0429, ""alt"": 15000, ""time"": ""3:41""}, {""lat"": -83.8557, ""long"": -47.0445, ""alt"": 20000, ""time"": ""1:14""}, {""lat"": -28.4661, ""long"": -32.044, ""alt"": 15000, ""time"": ""6:10""}, {""lat"": 14.2272, ""long"": 123.3048, ""alt"": 25000, ""time"": ""16:27""}, {""lat"": -84.21, ""long"": -145.9149, ""alt"": 15000, ""time"": ""10:38""}, {""lat"": 83.1822, ""long"": 127.7844, ""alt"": 20000, ""time"": ""0:30""}, {""lat"": -24.8904, ""long"": 175.9184, ""alt"": 10000, ""time"": ""7:02""}, {""lat"": 1.8236, ""long"": -39.8385, ""alt"": 30000, ""time"": ""12:04""}, {""lat"": -81.6436, ""long"": 70.0984, ""alt"": 25000, ""time"": ""7:51""}]","[{""flight_id"": ""INT8845"", ""alt"": 20000, ""time"": ""11:34"", ""wp"": ""WP3""}, {""flight_id"": ""INT7672"", ""alt"": 10000, ""time"": ""19:57"", ""wp"": ""WP1""}]",15,18,Positive,"[{""type"": ""War Zone"", ""wp"": ""WP4""}]",[],"[{""zone"": ""City Area"", ""alt"": [2432, 5167], ""time_range"": ""6:40-22:12""}]",Medium,Summer,0.59,18
FL1009,VGA,BOM,1342,"[{""lat"": 24.6217, ""long"": -119.6794, ""alt"": 30000, ""time"": ""14:40""}, {""lat"": -13.1954, ""long"": -0.8983, ""alt"": 30000, ""time"": ""0:34""}, {""lat"": -3.1938, ""long"": -32.1992, ""alt"": 30000, ""time"": ""12:54""}, {""lat"": 39.8555, ""long"": 109.8523, ""alt"": 10000, ""time"": ""13:24""}, {""lat"": -68.5687, ""long"": 149.2725, ""alt"": 15000, ""time"": ""14:24""}, {""lat"": -50.2177, ""long"": -123.2266, ""alt"": 10000, ""time"": ""0:15""}, {""lat"": 86.9441, ""long"": -110.3628, ""alt"": 30000, ""time"": ""0:21""}, {""lat"": 7.8512, ""long"": 31.3377, ""alt"": 15000, ""time"": ""17:08""}]","[{""flight_id"": ""INT5253"", ""alt"": 10000, ""time"": ""12:21"", ""wp"": ""WP3""}, {""flight_id"": ""INT7439"", ""alt"": 20000, ""time"": ""13:52"", ""wp"": ""WP1""}, {""flight_id"": ""INT1963"", ""alt"": 10000, ""time"": ""5:32"", ""wp"": ""WP3""}, {""flight_id"": ""INT8301"", ""alt"": 20000, ""time"": ""14:32"", ""wp"": ""WP2""}]",18,25,Negative,"[{""type"": ""Govt"", ""wp"": ""WP3""}, {""type"": ""Govt"", ""wp"": ""WP1""}]",[],"[{""zone"": ""Near Airport"", ""alt"": [1332, 3348], ""time_range"": ""7:47-20:45""}]",Low,Monsoon,0.67,13
