Flight ID,Destination,Airline,Aircraft Type,Scheduled Departure,Scheduled Arrival,Actual Departure,Actual Arrival,Traffic Volume (Nearby Flights ±5 mins),Sector Congestion (Intersections),Special Event (Rating out of 10),Day of the Week,Time of the Day,Weather Condition,Airport Operating Hours (Origin),Airport Operating Hours (Destination),Actual Travel Distance (Time Taken in mins),Suggested Travel Distance (Optimal Time in mins)
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:38 PM,12:46 PM,2:42 PM,3 flights scheduled within +/-5 mins,7:16 - Flight XYZ-ABC at 15448 ft,7,Sunday,Evening,Clear,05:00-23:00,05:00-23:00,47,47
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,1:55 PM,3:37 PM,4:46 PM,4 flights scheduled within +/-5 mins,8:36 - Flight XYZ-ABC at 23695 ft,5,Wednesday,Morning,Fog,05:00-23:00,05:00-23:00,65,46
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,4:07 PM,2:21 PM,3:46 PM,5 flights scheduled within +/-5 mins,9:32 - Flight XYZ-ABC at 28507 ft,7,Sunday,Afternoon,Fog,05:00-23:00,05:00-23:00,53,52
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,4:13 PM,3:03 PM,4:05 PM,2 flights scheduled within +/-5 mins,8:29 - Flight XYZ-ABC at 18304 ft,10,Tuesday,Morning,Clear,05:00-23:00,05:00-23:00,58,49
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:30 PM,4:48 PM,6:45 PM,4 flights scheduled within +/-5 mins,10:28 - Flight XYZ-ABC at 21525 ft,5,Saturday,Morning,Fog,05:00-23:00,05:00-23:00,59,53
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:11 PM,6:18 PM,8:12 PM,2 flights scheduled within +/-5 mins,8:16 - Flight XYZ-ABC at 24259 ft,0,Thursday,Afternoon,Clear,05:00-23:00,05:00-23:00,63,46
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,8:00 PM,6:08 PM,8:06 PM,4 flights scheduled within +/-5 mins,7:17 - Flight XYZ-ABC at 17282 ft,10,Tuesday,Afternoon,Fog,05:00-23:00,05:00-23:00,63,48
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,8:29 PM,6:59 PM,8:40 PM,4 flights scheduled within +/-5 mins,8:13 - Flight XYZ-ABC at 18690 ft,5,Thursday,Morning,Clear,05:00-23:00,05:00-23:00,48,50
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:12 PM,7:04 PM,8:35 PM,4 flights scheduled within +/-5 mins,10:26 - Flight XYZ-ABC at 19109 ft,10,Friday,Morning,Rain,05:00-23:00,05:00-23:00,50,46
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:35 PM,7:19 PM,9:13 PM,4 flights scheduled within +/-5 mins,9:46 - Flight XYZ-ABC at 17896 ft,0,Sunday,Afternoon,Rain,05:00-23:00,05:00-23:00,60,45
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:36 PM,7:53 PM,9:53 PM,1 flights scheduled within +/-5 mins,10:51 - Flight XYZ-ABC at 26494 ft,7,Wednesday,Evening,Fog,05:00-23:00,05:00-23:00,57,46
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,9:42 PM,8:37 PM,10:29 PM,5 flights scheduled within +/-5 mins,7:58 - Flight XYZ-ABC at 21692 ft,0,Friday,Morning,Rain,05:00-23:00,05:00-23:00,60,46
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:59 PM,9:10 PM,11:06 PM,6 flights scheduled within +/-5 mins,9:12 - Flight XYZ-ABC at 16244 ft,10,Thursday,Evening,Clear,05:00-23:00,05:00-23:00,46,55
AI468,Delhi (DEL),Air India,A319,9:10 PM,11:09 PM,9:21 PM,10:51 PM,3 flights scheduled within +/-5 mins,9:15 - Flight XYZ-ABC at 15954 ft,0,Thursday,Afternoon,Rain,05:00-23:00,05:00-23:00,61,46
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,11:15 PM,9:26 PM,10:43 PM,3 flights scheduled within +/-5 mins,8:38 - Flight XYZ-ABC at 19359 ft,10,Sunday,Morning,Rain,05:00-23:00,05:00-23:00,53,48
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:37 PM,12:46 PM,2:29 PM,3 flights scheduled within +/-5 mins,7:12 - Flight XYZ-ABC at 26739 ft,5,Monday,Morning,Fog,05:00-23:00,05:00-23:00,52,53
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:15 PM,3:37 PM,5:05 PM,1 flights scheduled within +/-5 mins,8:45 - Flight XYZ-ABC at 20888 ft,10,Tuesday,Evening,Clear,05:00-23:00,05:00-23:00,45,50
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:19 PM,2:21 PM,4:06 PM,4 flights scheduled within +/-5 mins,9:28 - Flight XYZ-ABC at 16462 ft,0,Wednesday,Evening,Rain,05:00-23:00,05:00-23:00,49,46
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,3:57 PM,3:03 PM,4:12 PM,3 flights scheduled within +/-5 mins,8:39 - Flight XYZ-ABC at 16456 ft,0,Wednesday,Evening,Clear,05:00-23:00,05:00-23:00,57,45
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:24 PM,4:48 PM,6:21 PM,3 flights scheduled within +/-5 mins,7:26 - Flight XYZ-ABC at 24893 ft,0,Saturday,Evening,Clear,05:00-23:00,05:00-23:00,52,53
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,6:51 PM,6:18 PM,7:21 PM,5 flights scheduled within +/-5 mins,8:22 - Flight XYZ-ABC at 26816 ft,0,Monday,Afternoon,Rain,05:00-23:00,05:00-23:00,48,48
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,7:19 PM,6:08 PM,7:55 PM,6 flights scheduled within +/-5 mins,10:22 - Flight XYZ-ABC at 28393 ft,0,Wednesday,Evening,Fog,05:00-23:00,05:00-23:00,64,50
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,8:39 PM,6:59 PM,8:33 PM,1 flights scheduled within +/-5 mins,9:20 - Flight XYZ-ABC at 18518 ft,7,Monday,Evening,Rain,05:00-23:00,05:00-23:00,63,47
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:58 PM,7:04 PM,8:12 PM,2 flights scheduled within +/-5 mins,7:56 - Flight XYZ-ABC at 26177 ft,0,Monday,Evening,Clear,05:00-23:00,05:00-23:00,63,46
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,9:05 PM,7:19 PM,9:14 PM,1 flights scheduled within +/-5 mins,10:34 - Flight XYZ-ABC at 28155 ft,5,Wednesday,Evening,Fog,05:00-23:00,05:00-23:00,47,48
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,8:55 PM,7:53 PM,9:23 PM,3 flights scheduled within +/-5 mins,8:27 - Flight XYZ-ABC at 22998 ft,7,Sunday,Morning,Fog,05:00-23:00,05:00-23:00,56,54
6E7206,Hyderabad (HYD),IndiGo,AT76,8:15 PM,10:14 PM,8:37 PM,10:14 PM,2 flights scheduled within +/-5 mins,7:16 - Flight XYZ-ABC at 18038 ft,10,Sunday,Morning,Fog,05:00-23:00,05:00-23:00,64,48
6E7139,Chennai (MAA),IndiGo,AT76,9:05 PM,10:30 PM,9:10 PM,10:52 PM,3 flights scheduled within +/-5 mins,8:20 - Flight XYZ-ABC at 18813 ft,10,Tuesday,Morning,Fog,05:00-23:00,05:00-23:00,49,52
AI468,Delhi (DEL),Air India,A319,9:10 PM,11:06 PM,9:21 PM,10:59 PM,6 flights scheduled within +/-5 mins,9:27 - Flight XYZ-ABC at 20900 ft,5,Tuesday,Evening,Rain,05:00-23:00,05:00-23:00,55,52
6E7284,Hyderabad (HYD),IndiGo,AT76,9:25 PM,10:57 PM,9:26 PM,11:08 PM,4 flights scheduled within +/-5 mins,8:54 - Flight XYZ-ABC at 22435 ft,7,Tuesday,Evening,Rain,05:00-23:00,05:00-23:00,54,49
6E7224,Bengaluru (BLR),IndiGo,AT76,12:45 PM,2:05 PM,12:46 PM,2:01 PM,2 flights scheduled within +/-5 mins,7:29 - Flight XYZ-ABC at 21490 ft,7,Friday,Morning,Rain,05:00-23:00,05:00-23:00,63,48
IX2883,Hyderabad (HYD),Air India Express,B38M,12:55 PM,2:29 PM,3:37 PM,5:17 PM,5 flights scheduled within +/-5 mins,7:48 - Flight XYZ-ABC at 18478 ft,0,Thursday,Evening,Clear,05:00-23:00,05:00-23:00,46,48
6E2264,Delhi (DEL),SmartLynx,A320,2:10 PM,3:38 PM,2:21 PM,3:51 PM,3 flights scheduled within +/-5 mins,9:52 - Flight XYZ-ABC at 22297 ft,7,Wednesday,Morning,Rain,05:00-23:00,05:00-23:00,59,45
6E7439,Tirupati (TIR),IndiGo,AT76,2:45 PM,4:06 PM,3:03 PM,4:04 PM,6 flights scheduled within +/-5 mins,9:34 - Flight XYZ-ABC at 24460 ft,5,Tuesday,Afternoon,Fog,05:00-23:00,05:00-23:00,61,54
6E7288,Hyderabad (HYD),IndiGo,AT76,4:50 PM,6:24 PM,4:48 PM,6:21 PM,5 flights scheduled within +/-5 mins,7:13 - Flight XYZ-ABC at 17183 ft,10,Friday,Morning,Rain,05:00-23:00,05:00-23:00,48,47
6E7251,Visakhapatnam (VTZ),IndiGo,AT76,5:45 PM,7:19 PM,6:18 PM,8:18 PM,6 flights scheduled within +/-5 mins,8:16 - Flight XYZ-ABC at 18012 ft,5,Wednesday,Afternoon,Fog,05:00-23:00,05:00-23:00,61,55
6E7392,Hyderabad (HYD),IndiGo,AT76,6:10 PM,7:25 PM,6:08 PM,7:45 PM,4 flights scheduled within +/-5 mins,8:30 - Flight XYZ-ABC at 25674 ft,0,Wednesday,Evening,Rain,05:00-23:00,05:00-23:00,56,52
6E5184,Mumbai (BOM),IndiGo,A20N,6:40 PM,8:03 PM,6:59 PM,8:26 PM,1 flights scheduled within +/-5 mins,7:15 - Flight XYZ-ABC at 23989 ft,0,Friday,Morning,Fog,05:00-23:00,05:00-23:00,63,48
AI599,Mumbai (BOM),Air India,A20N,7:10 PM,8:28 PM,7:04 PM,8:57 PM,1 flights scheduled within +/-5 mins,10:58 - Flight XYZ-ABC at 28646 ft,5,Thursday,Evening,Clear,05:00-23:00,05:00-23:00,61,53
6E7704,Bengaluru (BLR),IndiGo,AT76,7:15 PM,8:27 PM,7:19 PM,9:10 PM,5 flights scheduled within +/-5 mins,7:45 - Flight XYZ-ABC at 27781 ft,5,Wednesday,Afternoon,Fog,05:00-23:00,05:00-23:00,46,52
IX2516,Visakhapatnam (VTZ),Air India Express,B38M,7:55 PM,9:40 PM,7:53 PM,9:31 PM,2 flights scheduled within +/-5 mins,9:39 - Flight XYZ-ABC at 22576 ft,5,Saturday,Evening,Rain,05:00-23:00,05:00-23:00,57,45
