Aircraft_ID,Aircraft_Age,Total_Flight_Hours,Total_Cycles,Days_Since_Last_Maintenance,Last_Maintenance_Type,Unresolved_Issues,Total_Logged_Issues,Pressurization_Cycles,Wear_Tear_Score,Environmental_Exposure,Maintenance_Priority,Engine_Type,Structural_Integrity_Score,Operational_Region,Maintenance_Cost_Per_Hour,Overall_Aircraft_Usage,Aircraft_Rating
AC-0001,7,21869.762917835593,12824,173,Major Overhaul,3,29,7867,0.9355352967827126,4,Low,Turbofan,0.9926036629555468,Asia,1336,2.55,1.0
AC-0002,20,9008.765274625175,19211,237,Routine Check,1,33,9970,0.15906347936003581,2,Low,Turboprop,0.9049565601530452,Europe,2479,1.29,2.37
AC-0003,29,11314.09884458143,7979,162,Inspection,1,3,3094,0.5944706488548681,2,Low,Turbofan,0.7301033090783077,Africa,2908,2.56,1.34
AC-0004,15,30354.918099752045,10832,216,Major Overhaul,4,2,5189,0.631779640655603,2,High,Turbofan,0.9518836306995533,Africa,1430,3.97,1.6
AC-0005,11,35604.46814110468,13504,264,Routine Check,3,6,2936,0.6874553113995017,2,Medium,Turbofan,0.704923836559175,Asia,1774,3.47,1.0
AC-0006,8,40413.70996918183,7910,263,Component Replacement,6,17,6017,0.330099600998633,1,High,Turbofan,0.7624670421217338,Africa,1368,5.95,1.24
AC-0007,29,16721.06921084287,15089,292,Routine Check,10,41,9719,0.428109784767878,5,Low,Piston,0.7385648836978416,Europe,2735,1.92,1.0
AC-0008,21,21961.355645690728,3196,274,Inspection,4,6,6810,0.8593124766984799,4,Low,Turboprop,0.7238119363327624,Europe,1570,7.71,1.0
AC-0009,7,27423.336860831125,6978,3,Inspection,5,39,4039,0.27544849207314387,5,Low,Turbofan,0.8875953846469529,Europe,1124,4.81,4.39
AC-0010,26,45473.98921130238,18153,28,Inspection,9,5,3983,0.8441810624560259,1,Low,Turbofan,0.763384453634746,Oceania,2059,3.69,1.56
AC-0011,19,26148.614682138956,1780,149,Inspection,3,21,7871,0.6063898806124681,1,Medium,Turbofan,0.658358561012608,South America,1782,15.76,1.59
AC-0012,23,40512.62854732971,10908,28,Inspection,1,0,2741,0.7859687600746739,1,Medium,Piston,0.6290790838292392,Asia,2115,4.83,2.09
AC-0013,11,26699.72902907308,7303,65,Major Overhaul,9,3,6878,0.7422466296371244,1,Low,Turboprop,0.5188736584837167,Africa,1165,4.77,1.0
AC-0014,11,36532.45186428456,15686,21,Inspection,8,45,3265,0.2867603458463911,2,High,Turboprop,0.791597580941523,Europe,1462,3.34,3.3
AC-0015,24,35265.798465520784,4983,252,Major Overhaul,9,48,9865,0.6119314627904856,5,Low,Turbofan,0.6149807077005172,Asia,2236,8.2,1.0
AC-0016,21,26660.88132508151,10503,235,Component Replacement,6,49,5411,0.8809508375245831,3,High,Turbofan,0.5740669610081915,Asia,2501,3.58,1.0
AC-0017,4,14796.167527378451,17905,227,Inspection,3,42,903,0.4889046131217364,4,Low,Turbofan,0.8269149819138388,South America,1544,1.75,1.04
AC-0018,8,22309.055620710496,14070,13,Inspection,2,28,3882,0.969931693200985,1,Low,Turbofan,0.8406046289107745,Oceania,1665,2.61,2.13
AC-0019,24,39890.451738844786,13232,49,Routine Check,9,20,4663,0.5069935900915463,5,Low,Turbofan,0.876077446128833,Africa,2658,4.03,2.25
AC-0020,3,33778.25168480114,5583,118,Component Replacement,2,25,8130,0.22850707300109624,1,Low,Turbofan,0.7517884481692958,Oceania,1572,7.18,2.88
AC-0021,22,20663.49673228153,6946,54,Inspection,8,13,587,0.45049121206990594,1,Medium,Turbofan,0.9470273026019433,Africa,2555,4.17,3.4
AC-0022,21,21576.913613756005,17377,138,Inspection,4,8,9850,0.9565321657514835,1,Low,Turboprop,0.9681713766991139,Europe,2272,2.21,1.08
AC-0023,2,7691.268962344326,8128,53,Component Replacement,2,46,6316,0.3877487644058688,1,Low,Turboprop,0.9036854698962447,Europe,1416,2.05,3.99
AC-0024,24,39443.38791981811,12889,44,Major Overhaul,4,11,5970,0.8812883438803566,1,Medium,Turbofan,0.8177967410040936,Asia,2532,3.9,2.19
