Flight ID,Aircraft ID,Pilot IDs,Flight Date/Time,Route,Duration (min),Weather Temperature (°C),Weather Wind Speed (km/h),Weather Precipitation (mm),Aircraft Age (years),Aircraft Maintenance Score,Pilot Experience (years),Pilot Fatigue Level (1-10),Fuel Consumption Rate (kg/min),Landing Rate (ft/min),Flight Safety Rating
1,39,"41,6",2023-12-11 12:41:37.011319,Vijayawada to Hyderabad,134,25.92,32,3.65,7,5,16,8,0.61,274,Safe
2,16,"15,26",2024-06-21 12:41:37.011329,Vijayawada to Hyderabad,158,28.2,66,4.74,30,9,8,5,0.79,187,Safe
3,23,"6,31",2024-04-18 12:41:37.011331,Vijayawada to Hyderabad,178,29.99,80,1.65,6,4,10,10,0.64,183,Safe
4,18,"29,41",2024-08-09 12:41:37.011333,Vijayawada to Hyderabad,153,34.16,35,2.26,29,2,23,5,1.14,314,Safe
5,5,"25,46",2024-05-18 12:41:37.011334,Vijayawada to Hyderabad,171,37.53,55,3.17,15,6,11,3,1.18,316,Safe
6,10,"20,5",2024-08-29 12:41:37.011335,Vijayawada to Hyderabad,159,35.47,76,3.15,18,6,22,8,1.0,304,Safe
7,24,"17,1",2023-12-13 12:41:37.011336,Vijayawada to Hyderabad,175,30.02,73,0.75,22,7,9,10,1.05,200,Safe
8,36,"21,11",2024-09-21 12:41:37.011338,Vijayawada to Hyderabad,131,39.39,39,4.78,22,5,14,6,0.85,367,Safe
9,18,"15,44",2024-06-22 12:41:37.011339,Vijayawada to Hyderabad,148,27.88,63,3.35,30,3,12,1,1.13,295,Safe
10,39,"14,43",2024-10-24 12:41:37.011340,Vijayawada to Hyderabad,155,34.26,68,3.58,11,4,9,2,1.0,352,Safe
11,36,"3,34",2024-02-02 12:41:37.011341,Vijayawada to Hyderabad,136,30.38,63,2.23,27,6,8,10,1.04,326,Safe
12,30,"20,23",2024-02-11 12:41:37.011344,Vijayawada to Hyderabad,127,35.95,52,1.95,9,4,16,9,0.71,302,Safe
13,39,"20,49",2024-01-26 12:41:37.011346,Vijayawada to Hyderabad,178,27.43,72,3.84,20,10,21,10,1.04,400,Safe
14,33,"46,47",2023-12-19 12:41:37.011347,Vijayawada to Hyderabad,127,38.95,69,2.74,14,2,6,7,0.6,185,Critical
15,23,"21,33",2024-10-01 12:41:37.011349,Vijayawada to Hyderabad,139,36.45,78,3.86,10,10,16,7,1.14,363,Safe
16,6,"36,11",2024-07-23 12:41:37.011350,Vijayawada to Hyderabad,138,26.15,80,4.32,13,4,13,10,1.12,251,Safe
17,7,"42,33",2024-02-18 12:41:37.011352,Vijayawada to Hyderabad,124,36.67,58,3.05,9,5,6,6,0.74,203,Safe
18,47,"35,11",2024-11-21 12:41:37.011353,Vijayawada to Hyderabad,159,27.76,34,1.28,21,3,25,8,0.64,154,Safe
19,18,"7,9",2024-01-23 12:41:37.011355,Vijayawada to Hyderabad,134,27.26,58,3.12,23,2,12,2,1.09,394,Safe
20,44,"20,32",2024-09-07 12:41:37.011356,Vijayawada to Hyderabad,127,29.37,80,3.77,17,10,15,6,1.07,210,Safe
21,20,"27,45",2023-12-05 12:41:37.011358,Vijayawada to Hyderabad,134,27.74,57,0.42,11,8,21,9,0.86,209,Safe
22,41,"19,23",2024-02-21 12:41:37.011359,Vijayawada to Hyderabad,152,30.53,51,1.26,11,4,20,3,0.9,275,Safe
23,27,"44,44",2024-08-31 12:41:37.011361,Vijayawada to Hyderabad,157,25.5,80,1.01,29,9,23,4,0.66,220,Safe
24,9,"36,8",2024-02-16 12:41:37.011363,Vijayawada to Hyderabad,169,26.18,76,0.61,23,3,24,9,0.76,343,Safe
25,39,"12,37",2024-11-29 12:41:37.011364,Vijayawada to Hyderabad,157,27.72,66,3.98,15,2,16,4,0.74,361,Safe
26,18,"27,3",2024-05-28 12:41:37.011365,Vijayawada to Hyderabad,150,38.13,56,1.37,25,8,23,2,0.67,256,Critical
27,17,"23,30",2024-02-23 12:41:37.011367,Vijayawada to Hyderabad,120,37.53,31,1.9,12,3,17,5,0.96,347,Safe
28,38,"29,27",2023-12-29 12:41:37.011368,Vijayawada to Hyderabad,163,26.65,48,1.93,18,9,15,3,1.05,152,Critical
29,50,"45,4",2024-05-15 12:41:37.011370,Vijayawada to Hyderabad,173,32.49,43,2.17,14,3,18,7,0.93,377,Safe
30,5,"38,16",2024-07-21 12:41:37.011371,Vijayawada to Hyderabad,151,33.93,40,4.36,27,5,15,3,0.99,158,Critical
31,41,"2,36",2024-10-03 12:41:37.011372,Vijayawada to Hyderabad,180,39.74,74,3.05,20,7,24,1,0.88,242,Safe
32,45,"49,33",2024-06-24 12:41:37.011374,Vijayawada to Hyderabad,179,26.1,60,0.45,5,2,9,7,0.71,311,Critical
