Pilot ID,Training Hours,Simulator Hours,Flight Experience (Years),Training Score,Performance Score,Incidents,Accidents,Aircraft Types Flown,Last Check Ride Score,Reaction Time (ms),Stress Level,Sleep Quality,Cognitive Flexibility Score,Psychological Condition Index,Performance Level
P001,670.7316999999999,318.5947,15.881099999999998,60.74980000000001,38.8654,1.8866,0.7541,4.3976999999999995,57.853500000000004,254.6366,4.2675,4.3133,54.1188,57.396,Needs Improvement
P002,877.6684,432.6529,18.0925,74.5085,48.100100000000005,2.5153,0.8331999999999999,5.1192,71.4875,333.46160000000003,5.4201,5.0950999999999995,73.8893,70.11970000000001,Good
P003,688.4496,349.87620000000004,14.8134,59.8738,38.21,2.0021,0.7108,3.7645999999999997,56.3266,259.3669,3.7994,4.035299999999999,57.477799999999995,57.711099999999995,Needs Improvement
P004,878.9558000000001,417.6129,21.075300000000002,75.407,48.9565,2.2039,0.8349,4.8877999999999995,70.7847,341.5423,5.214600000000001,5.1652,69.2145,73.304,Good
P005,855.485,414.01059999999995,19.5381,77.2222,47.0028,2.4577,1.0161,5.0478,71.6779,330.3515,5.4529,5.1613,72.2524,70.8407,Good
P006,938.9902999999999,433.7373,18.3478,74.0368,44.250600000000006,2.1186,0.9514,5.5258,72.92569999999999,322.1314,5.2943999999999996,5.2935,70.8061,70.6147,Good
P007,918.2513,451.3228,20.3035,82.8861,49.171400000000006,2.4561,1.1645999999999999,5.709700000000001,78.6267,365.66790000000003,5.8225999999999996,5.7604,78.8817,78.2548,Very Good
P008,674.4755,344.37330000000003,16.5924,60.2376,35.9532,1.7096,0.7761,3.9011,56.885200000000005,250.5085,4.2393,4.074,56.3147,56.0501,Needs Improvement
P009,904.0968,440.6017,22.234299999999998,85.36219999999999,49.984399999999994,2.5823,1.0986,5.492999999999999,81.87989999999999,359.6558,6.059,6.1069,81.2325,78.2654,Very Good
P010,1028.0646000000002,575.6795999999999,25.367600000000003,96.7535,58.739,3.1348000000000003,1.2677,6.9409,91.6966,426.30629999999996,6.9252,6.424099999999999,90.3001,86.28540000000001,Excellent
P011,945.4851,494.6975,19.9777,85.45290000000001,51.0516,2.6299,1.0755,6.3445,77.2053,375.01529999999997,5.617100000000001,5.795,80.9791,78.46600000000001,Very Good
P012,955.7515,441.881,21.9335,84.23729999999999,53.03939999999999,2.4226,1.0291,5.8011,79.258,359.4128,6.024400000000001,5.5042,78.955,79.6982,Very Good
P013,636.1862,342.86260000000004,15.1556,58.5757,37.317,1.8844,0.8337,4.1093,56.523199999999996,259.1882,4.1278,4.061,55.8699,54.6269,Needs Improvement
P014,987.2919999999999,439.05010000000004,22.3378,84.4925,50.525,2.708,1.0676999999999999,6.007899999999999,78.1714,361.642,5.6058,5.444,77.0749,76.1146,Very Good
P015,551.4901,271.1761,12.3092,47.7228,28.083299999999998,1.4537,0.652,3.3922000000000003,44.5075,212.59720000000002,3.1772000000000005,3.3575999999999997,47.248400000000004,46.7519,Unacceptable
P016,1100.2091,526.8816,24.7152,94.4599,56.4896,3.1321999999999997,1.1996,6.56,90.4158,407.2903,6.9919,6.9376,91.6693,94.4201,Excellent
P017,666.7126,337.722,15.131400000000001,59.4832,36.6233,2.0126,0.7864,4.2148,55.545,259.5671,4.1112,3.9257,55.8949,57.1383,Needs Improvement
P018,673.7923,388.56090000000006,15.6374,59.6441,40.1411,1.7775,0.7902,3.9485,55.7701,258.5897,4.0587,3.8973,54.96019999999999,58.6857,Needs Improvement
P019,994.3811999999999,460.16,23.6154,83.5196,53.3027,2.9032999999999998,0.9629000000000001,5.7592,79.7169,364.9605,5.6901,5.443099999999999,78.5609,79.5536,Very Good
P020,1010.7274000000001,491.2377,21.9714,84.3265,55.81,2.6399,1.0808,5.779299999999999,79.508,386.05699999999996,5.426799999999999,5.2863,79.0065,76.8591,Very Good
P021,760.4546,359.827,17.0927,66.429,44.558099999999996,2.1527000000000003,0.7665000000000001,5.1273,63.3099,302.28790000000004,4.3872,4.5686,64.5195,65.0488,OK
P022,691.0611,330.54580000000004,16.5683,60.9708,37.58,1.7162,0.7683,3.9177,55.415,255.1427,4.3088999999999995,4.2213,57.4642,57.509499999999996,Needs Improvement
P023,898.9300999999999,480.7158,23.2332,84.9747,51.55350000000001,2.441,1.0019,6.2417,80.1605,370.723,6.0821000000000005,5.7474,78.9527,80.5162,Very Good
P024,911.8637,449.13489999999996,19.0431,74.6927,46.270900000000005,2.3033,0.9815999999999999,5.130700000000001,71.2854,340.6087,5.364299999999999,5.1587,71.48,70.6805,Good
P025,743.2655,378.61220000000003,17.3027,68.8342,42.5905,2.0776,0.8567,5.1556,62.7579,303.2951,5.0862,4.4598,64.4857,65.71600000000001,OK
P026,915.3453999999999,467.8901,21.0011,84.936,50.7808,2.5242,1.0473999999999999,5.7890999999999995,78.59989999999999,345.7734,5.7262,6.1488,78.1597,78.5027,Very Good
P027,852.7213,456.69199999999995,21.1729,75.1682,49.5716,2.3179,1.0044,5.1071,70.4577,334.3549,5.1852,4.7723,70.458,72.8369,Good
P028,536.0357,250.2518,13.3751,46.4329,30.9159,1.4409999999999998,0.5461,3.3996,45.592299999999994,211.803,3.222,3.1855,42.991099999999996,45.9313,Unacceptable
P029,1042.0541,543.0737,24.0686,96.5742,62.0884,3.1201999999999996,1.1999,6.7775,90.9337,411.2991,7.1124,6.5924000000000005,90.8908,93.3223,Excellent
P030,672.4839,355.403,15.7761,59.2532,40.3503,1.7526,0.7923,3.9501999999999997,58.0364,262.16450000000003,4.093999999999999,4.1835,55.6995,55.5821,Needs Improvement
P031,934.3914,487.86220000000003,20.6019,84.27590000000001,50.2519,2.7439999999999998,1.0998,5.7341999999999995,78.26310000000001,357.9629,5.468,5.671,82.6644,81.3903,Very Good
P032,853.3519,387.8582,18.6307,76.3813,45.2941,2.4077,0.8686,5.412100000000001,72.30850000000001,332.29699999999997,5.407100000000001,5.1791,69.8516,69.6557,Good
P033,702.3895,319.3279,16.6488,59.0388,37.2448,1.8700999999999999,0.7701,4.2296,56.1145,273.1337,4.3776,3.8241,55.993100000000005,55.8009,Needs Improvement
P034,977.5364,470.96209999999996,22.598000000000003,85.45129999999999,54.5413,2.7028,1.0977,5.5684000000000005,77.8767,358.9525,5.7506,5.7545,78.78020000000001,80.0747,Very Good
P035,539.7442,264.6738,12.703399999999998,47.6443,31.9661,1.4801,0.5915,3.0113,46.8464,208.15189999999998,3.3239,3.139,43.35229999999999,44.9421,Unacceptable
P036,1158.9086,562.0880000000001,25.54,93.0727,51.637299999999996,2.9218,1.2833,6.4819,91.1319,428.5187,7.0848,6.2282,89.8046,89.986,Excellent
P037,717.1080999999999,374.792,17.2418,67.563,44.3243,2.1758,0.8181,4.6372,64.8861,301.0667,4.7726999999999995,4.4881,63.029799999999994,64.9351,OK
P038,729.6423,405.0831,18.1067,68.11970000000001,44.256899999999995,2.2039,0.8831,4.8242,65.348,304.0601,4.8948,4.8082,64.7493,62.9609,OK
P039,866.3679,427.9685,20.0749,76.4558,45.1293,2.5023,0.9734,5.4079,71.188,340.4264,4.942200000000001,4.9824,71.183,69.9214,Good
P040,884.5871000000001,501.4813,23.773699999999998,82.71289999999999,52.71939999999999,2.4998,1.0090000000000001,5.833099999999999,77.77109999999999,382.0926,5.983099999999999,5.4924,78.33359999999999,78.33,Very Good
P041,858.4092999999999,434.601,18.896,77.312,45.367799999999995,2.424,0.9847,4.9637,73.0934,323.39959999999996,5.439299999999999,5.2791999999999994,72.4119,72.05279999999999,Good
P042,969.9594999999999,483.31449999999995,21.1613,83.45379999999999,59.0972,2.3165999999999998,1.0067,5.9115,75.5147,376.51779999999997,5.970599999999999,5.879099999999999,78.5021,81.6006,Very Good
P043,1098.741,555.8026,23.0171,97.346,60.169399999999996,3.0435000000000003,1.1657,6.3431999999999995,87.0723,418.1548,6.6160000000000005,6.7317,89.2791,88.6056,Excellent
P044,571.5423999999999,280.785,11.887599999999999,48.4497,30.0247,1.5052,0.5868,3.2467,45.456,214.6221,3.2558,3.4410000000000003,44.4485,43.5423,Unacceptable
P045,892.7932000000001,471.92010000000005,20.695700000000002,86.48989999999999,51.2946,2.1835999999999998,1.0356,5.8389999999999995,79.3562,352.527,5.7639,6.0707,78.9846,77.44890000000001,Very Good
P046,965.0974000000001,462.58709999999996,21.8908,85.8645,55.4592,2.2693,0.9903,5.954400000000001,80.7651,372.37980000000005,5.700399999999999,5.9902,78.345,77.322,Very Good
P047,674.8264999999999,331.792,15.1158,59.2846,37.019800000000004,1.8218,0.8201,4.2919,55.671899999999994,261.1111,3.9492000000000003,4.1912,54.979099999999995,56.6751,Needs Improvement
P048,962.5874,486.15160000000003,21.8261,84.1772,49.3159,2.6235000000000004,1.0143,5.494299999999999,79.9324,359.79,5.4585,5.7107,76.5506,79.9081,Very Good
P049,784.7814,358.9472,15.882100000000001,68.2616,38.8994,2.0008,0.7881,4.6943,62.0452,296.362,4.507,4.345400000000001,65.3291,61.7071,OK
P050,942.3078,465.2278,21.038,83.1652,52.665299999999995,2.5017,1.0769,5.573099999999999,79.7537,364.7161,5.846,5.559,79.0523,78.6379,Very Good
P051,1023.9258,466.9124,21.702399999999997,83.5661,52.8705,2.4859999999999998,0.9614,5.9028,81.077,354.7564,5.6891,5.4945,78.0355,76.2092,Very Good
P052,1089.7785000000001,549.3649,24.2062,98.1007,60.5457,2.9337,1.2308,7.1882,91.47290000000001,406.5746,6.130700000000001,6.5033,88.7744,89.78110000000001,Excellent
P053,973.5183000000001,506.3247,21.8819,83.9015,56.7314,2.2915,1.0758,5.4853,80.8424,372.0308,6.073199999999999,5.6414,78.2115,78.0717,Very Good
P054,870.6528,417.4012,17.9224,74.2598,45.2692,2.2183,1.0014,5.3286,71.8103,338.3783,5.1703,5.2664,74.3344,69.6801,Good
P055,1099.1417,585.1265,25.7337,91.66799999999999,57.428999999999995,3.2903000000000002,1.3397,7.0112,89.8051,417.9076,6.5779,6.6468,90.9466,90.8915,Excellent
P056,663.7877000000001,328.7842,14.773800000000001,60.169200000000004,42.90689999999999,1.8422,0.7774,4.1158,57.413500000000006,273.6035,3.8739,4.0717,55.1525,55.6909,Needs Improvement
P057,1113.662,501.9285,22.0931,96.0211,59.046899999999994,3.0273000000000003,1.2590999999999999,6.979500000000001,88.9602,443.42879999999997,7.2067,7.077000000000001,93.3362,88.9825,Excellent
P058,809.3186000000001,378.9048,16.256500000000003,67.20270000000001,42.635799999999996,2.0985,0.8128,4.9708,62.0651,291.1218,4.828,4.8660000000000005,63.919,65.24510000000001,OK
P059,928.035,429.2942,19.3173,76.4566,46.133,2.4224,1.0219,5.3274,70.7,330.1376,4.6257,5.2798,70.6346,72.2662,Good
P060,700.6147,367.7883,15.5679,60.470600000000005,41.5259,1.9283000000000001,0.7716,4.0385,57.0281,259.4412,4.0344,4.0072,56.250600000000006,56.7136,Needs Improvement
P061,757.2238000000001,392.0592,17.7451,67.15010000000001,43.8643,2.2566,0.8661,4.7189,62.9181,307.7432,4.6142,4.9538,64.0225,65.3447,OK
P062,525.9601,263.1923,12.5639,47.7252,30.8109,1.5285,0.5917,3.4412000000000003,44.9304,217.9236,3.1186000000000003,3.2505,45.286300000000004,44.4058,Unacceptable
P063,862.8014999999999,437.43489999999997,19.5606,76.1202,51.6695,2.2458,0.898,5.3951,70.01989999999999,334.41519999999997,5.0571,5.5176,72.4833,71.3748,Good
P064,813.7946000000001,433.759,18.9523,77.37020000000001,48.715900000000005,2.3902,1.0176,5.240399999999999,68.577,334.5908,4.6767,5.0878000000000005,71.2083,71.14359999999999,Good
P065,857.8154,451.3992,19.9439,75.5549,48.8843,2.449,1.0109000000000001,5.637899999999999,70.1311,341.1282,5.4878,5.0917,70.7509,71.12,Good
P066,722.3228,390.5949,16.951900000000002,66.9393,45.8315,2.0326,0.81,4.4603,60.7895,293.3175,4.4351,4.7277,63.943000000000005,62.764399999999995,OK
P067,854.3211,444.6012,18.521,75.1794,50.2777,2.3374,0.9567,5.5174,70.5093,336.28610000000003,5.2632,5.1782,71.7682,70.3163,Good
P068,751.8411,405.6975,15.9755,68.0327,39.8,2.081,0.9203,4.811,62.6792,300.527,4.8855,4.6528,64.248,63.005,OK
P069,757.5375,394.9189,15.7612,68.1717,45.34440000000001,2.1978,0.8693000000000001,4.4936,62.720299999999995,300.8204,4.7115,4.8050999999999995,66.4893,61.9885,OK
P070,511.7273,257.2573,11.413,47.9793,32.2954,1.5113999999999999,0.5676,3.0883,43.476000000000006,212.535,2.9131,2.9843,44.9454,44.2895,Unacceptable
P071,635.2593,325.5175,16.4411,60.0989,36.617599999999996,1.7591999999999999,0.7881,4.4033999999999995,55.479099999999995,266.2351,4.16,3.9268,57.57939999999999,57.813599999999994,Needs Improvement
P072,895.9192999999999,449.1358,18.820899999999998,76.6935,48.1689,2.4524,0.8659,4.5516000000000005,71.6319,328.6001,5.382000000000001,5.3870000000000005,72.4868,70.8493,Good
P073,744.6202000000001,366.1829,17.102999999999998,66.8883,41.665,2.2203,0.8809,4.97,63.890100000000004,291.05330000000004,4.7936000000000005,4.5974,62.7525,64.5068,OK
P074,813.0092999999999,450.5919,19.790599999999998,79.24119999999999,45.8641,2.2905,0.9185,5.121,70.7689,325.7522,5.0205,5.4453,74.1023,66.9416,Good
P075,515.8807,266.5082,11.2492,47.9917,30.149099999999997,1.5934,0.6329,3.5463999999999998,45.9762,213.00740000000002,3.6121,3.1252,44.630900000000004,45.571099999999994,Unacceptable
P076,765.4746,384.7738,16.666700000000002,69.3415,41.8162,2.0859,0.7911,4.9213,64.7017,295.6742,4.5041,4.5147,65.7744,63.2781,OK
P077,635.8398000000001,335.1013,15.3594,59.0046,39.9895,1.979,0.7605,4.1082,54.3423,255.0795,4.4269,3.9044,55.3683,57.061899999999994,Needs Improvement
P078,951.6403999999999,431.56419999999997,20.9269,84.3608,54.7337,2.9692000000000003,1.1199,5.3585,78.4949,368.731,5.457000000000001,5.9282,77.17190000000001,78.8281,Very Good
P079,538.1922999999999,247.0666,13.5948,49.019,29.604200000000002,1.6343,0.6149,3.3497,44.3962,213.42860000000002,3.3448,3.3242000000000003,46.5507,45.471000000000004,Unacceptable
P080,770.3889,380.3664,17.9737,67.3687,42.42980000000001,2.3059,0.8425,4.5317,62.9617,293.252,4.5449,4.369,64.04560000000001,64.1325,OK
