Pilot ID,Performance Level,Training Hours,Simulator Hours,Flight Experience (Years),Training Score,Performance Score,Incidents,Accidents,Aircraft Types Flown,Last Check Ride Score,Reaction Time (ms),Stress Level,Sleep Quality,Cognitive Flexibility Score,Psychological Condition Index
P001,Needs Improvement,415.34,496.76,28.41,75.83,31.89,1.42,1.01,2.63,55.12,351.09,2.27,1.05,41.32,47.44
P001,Needs Improvement,658.34,418.98,18.53,54.11,46.08,3.36,0.42,3.69,55.83,211.74,3.33,2.64,36.78,46.74
P001,Needs Improvement,704.25,425.05,7.54,51.96,28.53,0.92,1.07,1.87,50.52,227.39,3.13,5.37,54.67,56.39
P001,Needs Improvement,538.52,494.68,29.12,72.26,11.32,2.73,0.47,5.78,47.85,356.68,4.44,5.48,45.59,61.29
P001,Needs Improvement,407.05,335.19,31.75,64.9,13.74,2.75,1.27,7.06,75.35,303.76,3.45,7.11,48.86,57.9
P001,Needs Improvement,358.7,319.98,11.84,64.92,40.74,2.31,0.94,4.25,52.71,301.8,6.35,4.16,62.28,74.5
P001,Needs Improvement,500.97,495.8,10.5,66.15,5.5,0.69,0.72,3.57,68.23,201.5,3.07,2.68,65.97,64.54
P001,Needs Improvement,486.6,212.62,2.93,61.23,5.25,0.2,0.04,3.79,47.51,387.68,6.34,0.99,56.31,66.46
P001,Needs Improvement,1087.49,495.99,13.12,46.74,74.8,0.15,0.67,2.34,40.15,286.95,6.87,2.24,46.93,61.57
P001,Needs Improvement,809.4,430.63,16.52,47.58,6.51,1.24,0.25,6.14,50.25,278.35,7.53,2.35,72.51,59.14
P001,Needs Improvement,825.39,598.68,20.14,65.95,10.04,3.13,1.26,2.08,44.8,161.27,3.08,3.43,48.67,57.54
P001,Needs Improvement,569.85,94.53,29.24,58.23,44.53,0.46,0.91,4.38,65.01,200.28,4.35,3.29,38.79,76.84
P001,Needs Improvement,577.57,429.3,14.33,48.4,39.94,3.68,0.18,7.81,40.85,280.32,7.47,6.71,68.26,45.21
P001,Needs Improvement,979.28,332.24,18.61,68.9,68.91,1.35,0.71,5.32,49.45,204.46,4.76,6.18,66.99,45.79
