Pilot_ID,Flight_Hours,Training_Scores,Incident_Reports,Flight_Maneuver_Proficiency,Physiological_Data,Cognitive_Performance,Stress_Levels,Communication_Skills,Weather_Adaptability,Peer_Reviews,Simulator_Performance,Fatigue_Management,Final_Rating
1,51,10,61,37,67,69,68,0,84,12,38,31,43.25
2,92,91,67,9,55,71,61,32,73,93,96,91,74.6
3,14,75,90,41,38,78,63,70,20,31,87,43,48.9
4,71,38,91,36,62,92,21,73,89,4,11,2,54.6
5,60,89,42,25,6,62,31,58,40,11,100,93,63.45
6,20,76,79,91,57,91,46,71,2,58,72,43,60.2
7,82,71,58,11,79,21,1,31,0,40,43,68,59.95
8,86,62,51,83,58,97,84,86,20,36,42,50,70.8
9,74,63,96,48,47,19,91,16,74,67,66,60,53.8
10,74,60,18,13,4,32,51,77,79,47,86,50,59.3
11,87,53,20,45,86,14,87,16,98,42,87,32,64.9
12,99,91,21,34,35,6,87,88,20,92,96,19,69.8
13,23,93,8,28,95,87,13,20,74,40,93,29,70.55
14,2,72,8,11,87,89,36,54,94,55,37,43,60.05
15,21,94,72,81,24,49,26,5,48,68,65,85,58.45
16,52,57,26,43,44,9,23,83,64,10,39,85,56.7
17,1,84,16,65,91,78,63,48,40,93,21,28,62.15
18,87,55,43,1,18,36,69,83,95,8,74,20,55.15
19,29,33,44,58,6,58,25,25,66,27,62,81,47
20,37,30,7,16,57,87,53,31,95,21,58,52,53.9
21,1,51,79,9,80,74,14,71,41,74,75,10,46.65
22,63,88,17,17,65,62,28,43,68,84,18,9,67.6
23,59,75,32,21,79,20,99,58,56,5,19,34,54.25
24,20,0,0,82,38,78,73,28,42,25,72,25,44.75
25,32,54,75,57,17,78,27,16,100,15,42,43,49.35
26,75,21,5,52,0,36,58,17,11,13,57,3,44.65
27,57,39,40,0,62,44,72,39,77,34,81,73,52.4
28,21,100,54,87,2,13,20,62,63,41,53,56,56.75
29,88,0,4,60,20,42,9,81,50,52,81,38,59.05
30,48,64,58,99,29,84,3,74,72,99,39,79,70.8
31,90,62,79,88,10,83,61,44,59,21,99,40,65.7
32,58,53,17,99,21,32,3,75,70,52,26,93,66.35
33,41,41,48,30,56,2,5,78,79,65,12,66,50.15
34,91,20,81,30,88,86,89,89,27,12,46,97,58.6
35,59,78,64,65,2,43,79,2,70,10,71,88,55.1
36,79,80,82,18,29,86,71,2,13,11,22,35,52.5
37,14,21,53,52,87,90,91,37,31,96,58,3,46.3
38,61,37,60,75,44,34,15,98,7,85,76,73,60.1
39,61,98,7,73,35,24,37,72,26,52,6,12,65.85
40,46,79,2,94,86,95,48,39,49,8,49,69,75.6
41,61,7,24,21,71,85,60,67,58,70,65,6,54.2
42,50,61,68,22,63,7,64,53,56,16,2,27,44.1
43,54,46,54,86,53,61,82,19,2,60,38,58,54.35
44,63,16,39,14,67,17,49,14,26,9,86,36,42.8
45,2,16,82,25,49,91,16,92,93,37,6,14,38.2
46,100,89,81,2,30,27,27,4,33,38,67,29,57.8
47,50,12,49,86,28,74,43,38,25,88,54,73,53.05
48,6,16,94,19,58,11,11,39,100,90,7,11,30.6
49,20,37,32,39,35,63,69,6,39,93,31,80,45.9
50,72,80,17,38,76,1,70,71,85,29,18,29,63.3
51,38,77,56,71,72,58,71,95,31,33,11,0,57.45
52,17,44,15,17,84,36,2,99,40,32,56,35,52.4
53,3,5,79,40,66,3,48,32,1,31,9,87,25.2
54,88,34,37,69,88,40,20,36,71,11,77,20,65.15
55,59,13,40,26,88,44,7,31,6,86,90,31,53.05
56,13,71,6,99,75,33,63,42,18,92,20,62,60.45
57,8,60,77,14,92,86,91,62,32,64,19,81,48.45
58,89,14,52,36,10,12,58,35,1,83,3,12,40
59,52,53,62,57,10,6,29,97,66,9,18,36,46.95
60,1,26,88,4,25,31,31,48,91,18,28,43,27.45
61,83,12,31,72,52,22,74,24,77,22,70,20,52.45
62,91,30,37,6,13,48,19,95,14,84,63,17,54.9
63,59,34,21,40,63,71,15,65,20,56,96,45,62.25
64,70,59,15,83,79,46,24,8,77,98,71,46,73.9
65,43,5,51,9,9,36,59,92,58,58,10,25,34.1
66,7,68,28,61,30,97,44,17,81,95,32,4,55.25
67,46,85,15,25,94,47,8,21,38,53,24,4,62.9
68,34,57,75,67,35,28,50,98,19,73,32,30,48.8
69,77,48,16,23,9,36,60,14,0,1,99,27,49.25
70,80,22,100,77,25,22,39,6,72,99,25,76,49.75
71,35,88,63,40,19,37,60,12,8,47,35,74,48.7
72,49,33,90,64,43,92,66,35,50,5,10,64,47.2
73,3,25,88,16,61,43,79,15,37,42,29,87,30.35
74,1,46,12,23,72,4,75,40,92,16,56,12,40.15
75,5,4,71,26,78,51,14,20,14,78,96,17,35.75
76,53,89,55,6,8,39,52,27,83,35,9,23,49.45
77,3,19,4,72,70,10,3,73,40,23,92,28,46.85
78,53,5,11,98,89,77,22,82,93,60,24,27,65.1
79,92,69,40,11,23,1,26,16,46,28,95,44,56.85
80,62,58,2,84,11,34,36,64,25,77,67,85,65.8
81,17,63,98,2,59,44,76,12,53,57,56,83,40.95
