PilotID,HoursFlownPerYear,StressManagementScore,Certifications,AircraftTypeExperience,WeatherAdaptabilityScore,AccidentFreeYears,TrainingHoursLastYear,FlightReviewScore,FlightDisciplineRating,ReactionTimeScore,CommunicationSkills,DecisionMakingScore
1,906.1194919257989,6,IFR,Airbus A320,8,6,47.913028303658635,7.1836917395231605,8.259423698305413,6.2776000858435905,6,9
2,635.9195748803271,6,Night Flight,Cessna 172,7,9,37.89625153916035,9.052331745357913,7.816839759439652,6.848077838859979,6,7
3,841.9409196039342,9,Night Flight,Boeing 737,6,8,18.494270397987343,7.868663872781352,9.986968176357298,8.93258726346836,7,7
4,852.62540865839,9,IFR,Airbus A320,7,2,44.539988055234154,7.5592657578768305,6.867024534464168,8.557158483150413,9,6
5,860.6911356080809,9,Night Flight,Airbus A320,9,5,46.95991881863574,9.986508225301208,7.140545481106273,7.846036832685963,9,6
6,803.0169408350584,6,Night Flight,Boeing 737,8,13,31.798040094409508,9.08610656583656,7.967098709097351,6.236628817505272,6,7
7,869.9157461327006,6,Night Flight,Cessna 172,5,6,33.62805645267755,7.860993343296444,6.588144919334724,7.065392479121699,9,8
8,768.6507936982134,6,Multi-Engine,Boeing 737,5,12,5.614149540527681,7.888747627050854,9.72549964824882,7.700270455586012,6,8
9,850.1465402801562,8,Night Flight,Boeing 737,9,6,32.2542590415686,7.964487970166824,7.467510219217643,7.644530584120638,8,8
10,847.8118736198804,8,Night Flight,Airbus A320,9,4,16.068657127735733,7.871347930027893,9.744098229539297,8.971034057310044,8,7
11,826.5696257599956,9,IFR,Boeing 737,8,14,25.559032091211197,7.412557064558616,9.57498793537274,7.489966793550659,8,8
12,828.6843334973438,6,IFR,Cessna 172,5,11,33.38864882294047,9.933326176337523,9.953481462507886,8.396451715729263,9,9
13,786.7434099622332,7,Night Flight,Airbus A320,5,4,14.92356980030032,7.53804308373275,8.684148753331282,8.872397362239376,9,7
