FlightID,AircraftType,RouteAdherence,LandingQuality,PerformanceRating,ErrorsDetected,WeatherConditions,AirTrafficControlIssues,PilotExperience,FlightDuration,AccidentOccurred
1,A350,0.24,6.9,5.18,No,Fog,No,5.4,3.63,No
2,B737,1.43,1.56,6.53,No,Fog,Yes,7.97,8.63,Yes
3,B787,8.95,2.21,8.86,Yes,Clear,Yes,0.42,1.27,No
4,A380,9.29,2.96,7.92,No,Rain,No,7.92,8.15,No
5,B787,2.41,4.06,0.06,Yes,Clear,No,4.23,5.58,No
6,A350,1.81,5.58,3.96,Yes,Rain,Yes,4.61,6.98,No
7,A320,8.19,3.07,9.96,No,Thunderstorm,No,9.74,6.15,Yes
8,A380,1.32,1.26,0.57,No,Rain,Yes,0.38,3.63,Yes
9,B737,3.0,2.15,7.58,Yes,Thunderstorm,No,8.54,4.4,No
10,A350,6.65,1.66,8.64,Yes,Thunderstorm,Yes,2.99,9.02,No
11,B737,9.88,2.6,7.68,Yes,Rain,Yes,8.09,0.07,No
12,A350,1.52,8.81,4.25,No,Fog,Yes,8.64,8.59,Yes
13,A320,6.35,8.98,0.87,No,Snow,No,9.01,5.78,Yes
14,A380,0.31,3.95,4.72,No,Thunderstorm,No,0.09,6.47,No
15,B787,3.74,4.49,1.2,No,Rain,Yes,6.87,2.62,No
16,B787,4.73,4.15,2.31,No,Snow,No,0.93,3.51,No
17,A380,2.02,6.21,0.64,No,Snow,Yes,3.09,7.26,No
18,B787,3.84,7.15,7.12,No,Snow,Yes,4.5,9.29,No
19,A350,9.7,6.27,8.99,No,Fog,Yes,8.03,7.24,No
20,B787,6.86,9.3,0.59,Yes,Clear,Yes,8.09,1.11,No
21,B737,1.27,1.86,8.02,Yes,Snow,No,5.06,0.15,No
22,A380,8.66,8.43,8.59,No,Snow,Yes,6.72,3.65,Yes
23,A380,4.25,5.22,5.41,Yes,Thunderstorm,Yes,9.91,2.18,No
24,A380,6.63,1.86,7.17,No,Clear,No,9.68,9.04,No
25,A380,4.69,1.11,9.86,No,Rain,Yes,2.93,3.35,Yes
26,B737,1.87,3.59,3.29,No,Thunderstorm,No,7.02,8.51,Yes
27,B737,7.5,0.3,2.19,Yes,Clear,Yes,7.62,3.88,Yes
28,A320,8.05,10.0,6.11,No,Rain,No,8.66,0.29,No
29,A350,1.14,9.7,0.08,Yes,Snow,No,0.81,5.03,No
30,B787,1.63,2.73,2.29,Yes,Clear,No,4.17,6.03,No
31,A320,8.0,6.44,0.71,No,Fog,No,6.96,1.34,No
32,B737,9.95,8.43,8.88,Yes,Rain,Yes,6.42,1.83,Yes
33,A350,2.03,2.44,8.5,Yes,Rain,No,8.96,3.87,Yes
34,A320,9.75,5.32,4.27,No,Fog,Yes,4.08,0.67,No
35,B737,4.25,4.34,7.55,No,Snow,Yes,1.18,4.42,No
36,B737,7.47,7.46,5.77,No,Clear,No,1.88,6.41,No
37,A350,1.23,8.3,9.9,No,Rain,No,3.64,2.86,No
38,B737,3.05,4.59,7.37,No,Fog,No,2.12,6.33,No
39,B737,8.32,8.69,7.73,No,Snow,Yes,2.08,4.68,No
40,A320,8.58,9.51,2.41,Yes,Fog,Yes,0.13,7.71,Yes
41,A350,1.8,2.69,5.01,Yes,Fog,No,8.75,8.94,No
42,A350,7.24,8.92,6.03,Yes,Rain,Yes,7.67,7.96,No
43,B787,2.54,1.97,1.11,No,Rain,No,1.31,0.06,No
44,A380,7.39,8.28,0.04,Yes,Rain,No,1.56,9.27,No
45,A350,4.73,9.04,3.83,No,Snow,Yes,1.21,2.0,No
46,A350,5.5,4.41,5.01,No,Snow,No,8.65,9.14,No
47,A380,7.38,1.46,2.54,No,Thunderstorm,Yes,9.79,6.72,Yes
48,B787,8.29,3.2,3.71,Yes,Fog,No,2.96,5.32,No
49,A320,9.63,2.45,8.48,No,Snow,No,7.21,0.03,No
