aircraft_id,waypoint,latitude,longitude,timestamp,altitude,speed,distance_to_waypoint
ICAO24_00029,WP007,-57.826286,-139.50474,2024-11-02 05:12:32.539171,22433,569,0.585
ICAO24_00027,WP002,-55.087878,-57.667012,2024-11-02 17:37:32.539171,17225,592,0.773
ICAO24_00004,WP002,-55.087878,-57.667012,2024-11-02 04:38:32.539171,11855,504,0.408
ICAO24_00019,WP005,-69.270295,56.503761,2024-11-02 07:12:32.539171,38984,281,0.022
ICAO24_00016,WP003,21.930152,112.390543,2024-11-02 08:13:32.539171,28697,528,0.198
ICAO24_00029,WP004,-20.25543,-120.320141,2024-11-02 05:07:32.539171,19971,366,0.284
ICAO24_00020,WP002,-55.087878,-57.667012,2024-11-01 20:38:32.539171,7292,273,0.513
ICAO24_00045,WP002,-55.087878,-57.667012,2024-11-01 22:00:32.539171,34184,558,0.396
ICAO24_00043,WP004,-20.25543,-120.320141,2024-11-02 15:52:32.539171,16358,467,0.9
ICAO24_00013,WP002,-55.087878,-57.667012,2024-11-02 18:44:32.539171,23841,558,0.293
ICAO24_00036,WP009,69.053744,93.717509,2024-11-01 22:07:32.539171,20774,207,0.223
ICAO24_00009,WP007,-57.826286,-139.50474,2024-11-02 10:40:32.539171,20227,514,0.307
ICAO24_00003,WP006,59.415864,-177.561983,2024-11-01 02:31:32.539337,17831,488,0.79
ICAO24_00048,WP002,-55.087878,-57.667012,2024-11-01 06:22:32.539337,37436,291,0.253
ICAO24_00023,WP004,-20.25543,-120.320141,2024-11-01 07:52:32.539337,29404,249,0.424
ICAO24_00020,WP001,-35.646962,143.047845,2024-11-01 10:53:32.539337,29406,439,0.362
ICAO24_00027,WP007,-57.826286,-139.50474,2024-11-01 03:00:32.539337,28141,506,0.098
ICAO24_00041,WP003,21.930152,112.390543,2024-11-01 15:03:32.539337,23463,250,0.613
ICAO24_00032,WP005,-69.270295,56.503761,2024-11-01 00:22:32.539337,5011,565,0.269
ICAO24_00017,WP005,-69.270295,56.503761,2024-11-01 08:01:32.539337,7038,520,0.526
ICAO24_00004,WP008,52.744615,-89.590645,2024-11-01 00:38:32.539337,39296,251,0.075
ICAO24_00027,WP005,-69.270295,56.503761,2024-11-01 19:18:32.539337,36323,268,0.468
ICAO24_00019,WP006,59.415864,-177.561983,2024-10-31 23:49:32.539337,12423,422,0.535
ICAO24_00010,WP007,-57.826286,-139.50474,2024-11-01 00:03:32.539337,10956,528,0.187
ICAO24_00040,WP009,69.053744,93.717509,2024-11-01 05:39:32.539337,22186,315,0.423
ICAO24_00013,WP006,59.415864,-177.561983,2024-10-31 15:11:32.539449,15949,459,0.311
ICAO24_00026,WP006,59.415864,-177.561983,2024-10-30 20:26:32.539449,16285,534,0.559
ICAO24_00000,WP003,21.930152,112.390543,2024-10-31 03:56:32.539449,32206,504,0.538
ICAO24_00046,WP009,69.053744,93.717509,2024-10-31 13:39:32.539449,11762,540,0.584
ICAO24_00033,WP005,-69.270295,56.503761,2024-10-30 23:22:32.539449,21777,329,0.604
ICAO24_00029,WP006,59.415864,-177.561983,2024-10-31 03:32:32.539449,30989,434,0.984
ICAO24_00026,WP009,69.053744,93.717509,2024-10-31 18:17:32.539449,18193,311,0.724
ICAO24_00044,WP003,21.930152,112.390543,2024-10-31 11:08:32.539449,26659,346,0.378
ICAO24_00027,WP005,-69.270295,56.503761,2024-10-30 17:19:32.539506,21937,493,0.942
ICAO24_00049,WP007,-57.826286,-139.50474,2024-10-30 09:50:32.539506,39635,352,0.762
ICAO24_00003,WP005,-69.270295,56.503761,2024-10-30 04:09:32.539506,10574,567,0.237
ICAO24_00007,WP000,-84.632821,-38.478015,2024-10-30 15:29:32.539506,7034,565,0.545
ICAO24_00034,WP000,-84.632821,-38.478015,2024-10-29 21:24:32.539506,8339,201,0.442
ICAO24_00041,WP009,69.053744,93.717509,2024-10-30 12:49:32.539506,25916,205,0.321
ICAO24_00020,WP003,21.930152,112.390543,2024-10-30 13:18:32.539506,20483,359,0.981
ICAO24_00049,WP005,-69.270295,56.503761,2024-10-29 23:08:32.539506,9710,403,0.659
ICAO24_00028,WP001,-35.646962,143.047845,2024-10-29 19:20:32.539566,28108,364,0.097
ICAO24_00039,WP003,21.930152,112.390543,2024-10-29 13:48:32.539566,19928,546,0.97
ICAO24_00045,WP006,59.415864,-177.561983,2024-10-28 21:40:32.539566,20226,512,0.18
ICAO24_00046,WP006,59.415864,-177.561983,2024-10-29 01:51:32.539566,8230,521,0.553
ICAO24_00020,WP008,52.744615,-89.590645,2024-10-28 23:42:32.539566,13582,274,0.846
ICAO24_00043,WP009,69.053744,93.717509,2024-10-28 17:17:32.539616,7582,240,0.187
ICAO24_00040,WP004,-20.25543,-120.320141,2024-10-27 21:06:32.539616,37432,289,0.851
ICAO24_00046,WP002,-55.087878,-57.667012,2024-10-28 19:42:32.539616,7246,489,0.733
ICAO24_00002,WP005,-69.270295,56.503761,2024-10-28 09:28:32.539616,16533,577,0.951
ICAO24_00022,WP005,-69.270295,56.503761,2024-10-28 00:18:32.539616,37791,305,0.825
ICAO24_00032,WP007,-57.826286,-139.50474,2024-10-28 08:40:32.539616,24648,469,0.336
ICAO24_00001,WP003,21.930152,112.390543,2024-10-28 09:53:32.539616,22446,497,0.606
ICAO24_00021,WP003,21.930152,112.390543,2024-10-28 03:49:32.539616,34989,295,0.107
ICAO24_00004,WP008,52.744615,-89.590645,2024-10-28 15:04:32.539616,36489,247,0.167
ICAO24_00022,WP002,-55.087878,-57.667012,2024-10-27 21:13:32.539616,4417,404,0.6
ICAO24_00001,WP008,52.744615,-89.590645,2024-10-28 10:41:32.539616,8572,498,0.47
ICAO24_00001,WP003,21.930152,112.390543,2024-10-27 20:02:32.539616,3789,335,0.807
ICAO24_00015,WP003,21.930152,112.390543,2024-10-28 09:05:32.539616,38908,304,0.399
ICAO24_00046,WP005,-69.270295,56.503761,2024-10-28 03:15:32.539616,27720,450,0.485
ICAO24_00030,WP006,59.415864,-177.561983,2024-10-28 01:37:32.539616,4746,389,0.694
ICAO24_00021,WP007,-57.826286,-139.50474,2024-10-28 11:02:32.539616,37050,353,0.506
ICAO24_00038,WP003,21.930152,112.390543,2024-10-27 11:38:32.539751,37291,396,0.425
ICAO24_00011,WP006,59.415864,-177.561983,2024-10-27 08:15:32.539751,9151,392,0.346
ICAO24_00000,WP002,-55.087878,-57.667012,2024-10-27 07:08:32.539751,38038,367,0.87
ICAO24_00009,WP007,-57.826286,-139.50474,2024-10-27 07:54:32.539751,33870,589,0.157
ICAO24_00007,WP001,-35.646962,143.047845,2024-10-27 18:32:32.539751,33848,244,0.499
ICAO24_00012,WP007,-57.826286,-139.50474,2024-10-27 11:35:32.539751,37714,509,0.024
ICAO24_00017,WP005,-69.270295,56.503761,2024-10-27 00:30:32.539751,22354,214,0.808
ICAO24_00043,WP003,21.930152,112.390543,2024-10-27 09:39:32.539751,28702,355,0.082
ICAO24_00037,WP003,21.930152,112.390543,2024-10-27 03:56:32.539751,20315,256,0.52
ICAO24_00041,WP002,-55.087878,-57.667012,2024-10-26 20:58:32.539751,16076,312,0.233
ICAO24_00012,WP004,-20.25543,-120.320141,2024-10-27 01:18:32.539751,11098,561,0.085
ICAO24_00004,WP009,69.053744,93.717509,2024-10-26 21:37:32.539751,17006,215,0.211
ICAO24_00013,WP000,-84.632821,-38.478015,2024-10-27 09:13:32.539751,15001,293,0.029
ICAO24_00012,WP006,59.415864,-177.561983,2024-10-27 17:24:32.539751,22386,207,0.349
ICAO24_00049,WP003,21.930152,112.390543,2024-10-27 00:23:32.539751,7595,569,0.641
ICAO24_00045,WP009,69.053744,93.717509,2024-10-27 14:45:32.539751,31282,425,0.62
ICAO24_00013,WP004,-20.25543,-120.320141,2024-10-27 18:31:32.539751,32496,546,0.359
ICAO24_00042,WP008,52.744615,-89.590645,2024-10-26 22:35:32.539751,39545,550,0.9
ICAO24_00041,WP001,-35.646962,143.047845,2024-10-26 17:54:32.539888,15430,496,0.809
ICAO24_00003,WP008,52.744615,-89.590645,2024-10-26 12:53:32.539888,10217,252,0.292
ICAO24_00010,WP001,-35.646962,143.047845,2024-10-26 18:16:32.539888,32602,434,0.912
ICAO24_00004,WP007,-57.826286,-139.50474,2024-10-25 19:54:32.539888,22140,402,0.828
ICAO24_00033,WP005,-69.270295,56.503761,2024-10-26 09:23:32.539888,27629,359,0.062
ICAO24_00041,WP005,-69.270295,56.503761,2024-10-25 20:54:32.539888,26273,418,0.88
ICAO24_00023,WP007,-57.826286,-139.50474,2024-10-26 05:23:32.539888,30274,530,0.632
ICAO24_00015,WP008,52.744615,-89.590645,2024-10-26 13:25:32.539888,31569,202,0.342
ICAO24_00006,WP007,-57.826286,-139.50474,2024-10-26 17:36:32.539888,4143,205,0.408
ICAO24_00021,WP008,52.744615,-89.590645,2024-10-26 08:53:32.539888,23530,471,0.267
ICAO24_00014,WP001,-35.646962,143.047845,2024-10-26 02:12:32.539888,26053,335,0.461
ICAO24_00040,WP001,-35.646962,143.047845,2024-10-26 05:18:32.539888,11432,201,0.051
ICAO24_00018,WP003,21.930152,112.390543,2024-10-26 02:05:32.539888,34957,296,0.513
