FlightID,AircraftType,EngineThrust,PressurizationCycles,ErrorsDetected,MaintenanceHistory,FlightHoursSinceLastCheck,MaintenanceRequired
1,B737,7.37,5.33,No,6.69,6.32,Yes
2,A350,9.32,2.98,No,9.26,7.95,No
3,B787,1.69,4.74,No,3.99,3.72,No
4,A350,8.7,3.86,No,6.76,1.93,Yes
5,A350,8.56,2.09,Yes,9.09,6.31,Yes
6,A350,2.86,0.52,No,4.33,3.78,No
7,B787,2.56,2.73,Yes,8.09,7.76,No
8,A350,0.17,4.54,No,2.44,6.59,Yes
9,B737,7.7,4.18,No,7.09,4.18,No
10,A380,0.4,8.11,No,5.74,1.67,Yes
11,A350,4.36,0.12,Yes,5.79,8.62,No
12,A380,6.47,1.55,Yes,0.56,2.37,No
13,B787,7.55,9.25,Yes,5.71,1.15,Yes
14,B737,3.46,1.73,No,1.72,2.18,No
15,B787,10.0,3.75,Yes,4.28,2.05,Yes
16,B737,1.86,4.53,Yes,4.57,1.78,No
17,A320,6.93,2.67,Yes,0.18,3.37,No
18,A350,2.57,6.5,No,0.47,2.19,Yes
19,A320,1.17,9.51,No,2.64,7.26,No
20,B787,7.73,2.3,Yes,8.22,2.07,Yes
21,B787,4.51,4.43,Yes,4.64,7.56,Yes
22,A380,4.13,2.82,No,2.48,8.21,Yes
23,A350,8.78,3.83,No,7.9,3.94,No
24,B787,6.09,5.14,Yes,7.33,0.2,No
25,B787,7.32,6.04,No,1.92,9.3,Yes
26,A380,8.75,9.04,Yes,6.15,7.43,No
27,B787,8.28,8.66,No,9.04,3.12,No
28,A350,2.56,5.71,No,9.48,2.94,Yes
29,A380,7.65,6.55,No,5.94,1.34,No
30,A350,9.82,5.35,No,7.54,4.97,Yes
31,B737,8.27,3.76,No,8.53,1.47,No
32,B737,1.91,2.88,Yes,7.44,7.02,No
33,B787,6.18,7.04,Yes,4.54,0.11,No
34,B787,7.04,5.01,Yes,3.21,6.76,No
35,A320,8.23,0.49,No,8.32,9.69,Yes
36,A380,7.8,1.7,No,6.37,9.44,No
37,A320,7.72,2.35,Yes,4.95,5.48,No
38,A380,0.63,8.73,Yes,2.59,0.61,Yes
39,A380,1.5,3.26,Yes,5.99,9.62,No
40,B737,8.69,3.7,No,7.23,1.64,No
41,A380,8.6,1.37,Yes,1.35,9.25,Yes
42,B737,1.94,4.46,Yes,9.82,9.06,No
43,A380,4.55,7.83,Yes,6.67,7.19,No
44,A320,6.8,0.12,Yes,1.09,2.87,No
45,B787,1.78,3.45,Yes,0.84,2.9,Yes
46,A320,4.45,6.04,Yes,8.0,9.09,Yes
47,A320,5.24,2.76,Yes,2.31,6.01,No
48,A320,7.25,6.25,Yes,0.68,9.77,Yes
49,A380,1.19,3.86,Yes,6.4,0.84,Yes
50,B737,7.97,1.69,No,0.18,1.43,No
51,A350,7.24,2.04,No,4.08,4.4,Yes
52,B787,8.81,9.88,Yes,0.97,1.87,Yes
53,B787,8.83,8.61,No,0.58,3.19,No
54,A380,0.69,9.95,Yes,0.47,1.11,Yes
55,A320,3.22,0.4,Yes,7.63,7.52,Yes
56,B787,6.67,7.33,Yes,6.72,2.32,Yes
57,A320,7.31,0.14,Yes,9.23,6.75,No
58,A380,7.1,7.44,No,5.43,7.76,Yes
59,B737,3.33,8.34,No,9.89,5.64,Yes
60,B787,0.01,2.28,No,1.97,9.3,Yes
61,A320,2.99,2.65,No,1.33,1.33,Yes
62,A350,8.69,2.98,Yes,4.08,2.78,Yes
63,B787,1.2,4.09,Yes,4.3,2.8,Yes
64,A380,1.89,0.6,No,8.72,2.27,No
65,B737,1.89,6.92,Yes,8.72,3.14,Yes
66,A380,8.99,0.89,Yes,4.15,0.48,No
67,B737,4.22,2.4,No,7.02,2.83,Yes
68,B737,5.75,4.65,No,3.53,5.85,No
69,A350,4.28,8.4,Yes,9.15,7.32,No
70,B787,3.39,6.24,Yes,4.35,2.08,Yes
71,A320,3.94,3.21,No,9.14,5.52,Yes
72,A320,0.8,5.64,No,4.0,3.84,No
73,B737,4.85,7.01,No,8.91,4.46,No
74,A320,8.38,0.18,Yes,0.56,6.46,No
75,A320,0.46,6.04,No,7.87,8.62,Yes
76,A350,1.38,8.75,Yes,8.11,2.27,Yes
77,A380,3.22,5.77,No,8.32,9.4,No
78,B737,1.72,5.25,No,9.97,2.88,Yes
79,B737,2.49,6.76,No,8.06,0.38,No
80,A350,5.31,9.07,Yes,0.17,9.14,No
81,B787,2.27,4.19,Yes,6.8,9.64,No
82,A320,7.43,8.43,Yes,2.79,8.37,Yes
83,A320,0.42,6.54,No,4.92,8.61,No
84,A320,0.4,0.77,No,1.51,2.49,No
85,A320,8.37,3.92,No,9.57,6.31,No
86,A350,7.16,7.32,Yes,0.4,8.3,Yes
87,A320,7.13,9.39,Yes,0.36,1.44,No
88,A350,5.9,3.03,No,5.35,9.67,Yes
89,B787,1.84,3.21,Yes,9.05,8.12,No
90,A380,3.2,4.51,Yes,5.85,6.78,Yes
91,A350,2.21,5.64,Yes,4.93,3.36,No
92,A380,5.82,8.94,Yes,4.76,0.17,No
93,A380,5.33,6.08,Yes,8.5,9.81,Yes
94,B737,6.36,9.77,Yes,0.31,3.53,No
95,A380,7.13,1.1,No,0.75,5.08,No
96,A350,8.08,5.01,No,9.32,6.9,No
97,A320,0.07,9.52,Yes,7.57,3.78,Yes
98,A380,0.16,1.44,Yes,8.84,8.63,No
99,A350,1.42,9.29,No,3.13,9.29,Yes
100,A380,6.57,6.15,No,6.06,7.0,No
101,B787,1.83,3.38,Yes,7.37,5.22,No
102,A380,9.24,1.87,No,0.86,3.31,No
103,A350,3.22,9.42,Yes,3.76,6.36,No
104,B787,2.88,6.37,No,0.54,0.69,Yes
105,A380,5.58,8.73,No,8.41,4.35,No
106,B737,6.17,4.73,Yes,1.64,0.13,No
107,B737,8.21,9.41,No,2.63,3.14,Yes
108,A380,8.57,1.68,Yes,10.0,0.03,Yes
109,A320,2.78,5.13,No,8.75,8.01,No
110,B737,8.76,7.87,Yes,9.61,5.14,No
111,A380,3.92,0.86,No,6.91,0.45,Yes
112,B787,7.66,3.92,No,6.79,5.53,Yes
113,B787,7.64,9.3,Yes,2.16,4.03,Yes
114,A350,4.3,6.21,Yes,0.8,3.41,No
115,A350,8.81,6.3,Yes,3.81,3.13,Yes
116,A380,5.67,2.65,Yes,9.04,2.56,No
117,B787,2.0,9.09,No,4.91,0.27,No
118,A350,2.72,1.85,Yes,5.3,1.88,No
119,B787,0.6,4.85,Yes,4.31,5.99,No
120,A320,9.57,2.6,No,1.69,1.99,No
121,A350,1.06,5.53,Yes,9.09,3.66,Yes
122,B787,8.56,3.52,Yes,5.0,8.44,No
123,A320,8.85,2.13,Yes,8.41,0.92,Yes
124,A320,2.64,5.26,No,0.62,0.51,No
125,A380,5.84,9.39,Yes,2.55,2.92,Yes
126,A320,8.15,1.16,Yes,0.63,9.09,Yes
127,A320,7.68,1.97,No,0.43,9.84,No
128,A350,8.29,3.13,Yes,9.9,7.21,No
129,A380,6.55,2.87,No,6.46,1.06,Yes
130,B787,0.2,1.25,No,7.21,1.46,No
131,B787,2.47,9.15,No,1.34,2.13,Yes
132,A320,5.22,6.9,Yes,6.61,9.05,Yes
133,B737,7.46,2.14,Yes,8.89,9.41,Yes
134,B737,8.8,2.28,Yes,6.77,2.31,No
135,A380,2.24,5.93,No,4.29,5.61,No
136,A350,7.04,7.09,No,2.71,0.86,Yes
137,B737,1.87,4.72,Yes,1.68,6.34,Yes
138,A380,9.8,6.18,No,4.92,8.02,No
139,A350,0.04,1.81,Yes,1.73,1.29,Yes
140,A320,9.48,3.71,No,3.53,0.84,Yes
141,A350,2.7,1.27,Yes,9.9,1.52,No
142,B737,5.54,7.85,Yes,5.83,1.81,No
143,A350,4.11,7.26,No,2.51,4.49,No
144,A320,5.33,3.55,No,7.76,4.96,No
145,B787,3.85,8.15,Yes,0.32,5.04,Yes
146,A380,3.65,3.14,Yes,3.06,0.42,Yes
147,A320,2.39,9.7,Yes,7.98,4.38,Yes
148,B787,1.9,0.03,Yes,8.31,9.17,No
149,B787,3.77,3.38,Yes,1.41,2.6,Yes
150,A380,7.41,0.23,No,8.03,7.33,Yes
151,B737,3.45,1.95,Yes,3.86,5.23,No
152,B737,8.31,2.66,No,3.34,7.06,No
153,A380,9.7,6.18,Yes,6.87,8.25,Yes
154,B787,4.16,8.36,Yes,8.96,0.64,No
155,B787,1.07,8.46,Yes,3.1,9.51,No
156,A350,6.89,4.74,Yes,2.11,8.8,Yes
157,A380,2.27,8.76,Yes,2.0,9.11,No
158,A350,6.04,6.52,No,4.21,0.98,Yes
159,B737,0.7,3.77,Yes,9.29,5.63,No
160,A320,6.37,0.27,Yes,4.71,6.88,No
161,B787,8.61,9.82,No,6.98,6.86,No
162,B787,4.22,7.05,No,1.14,5.96,Yes
163,A320,4.33,0.58,No,1.81,8.02,Yes
164,B787,6.85,3.86,No,3.67,6.82,No
165,B737,2.22,5.5,No,1.1,3.34,No
166,A350,8.77,8.55,Yes,0.48,0.28,No
167,B737,5.82,7.62,Yes,5.51,4.51,Yes
168,B737,5.93,2.12,Yes,9.98,1.56,Yes
169,A320,3.43,3.62,Yes,4.76,9.4,Yes
170,B787,4.21,4.97,Yes,9.65,5.86,No
171,B787,9.4,3.15,No,3.22,4.57,No
172,B737,2.72,6.76,No,3.99,6.33,Yes
173,A350,3.83,3.23,Yes,1.55,4.78,No
174,A320,6.9,0.88,No,8.92,6.85,Yes
175,A350,8.61,0.16,Yes,1.56,0.55,Yes
176,B787,7.8,3.18,No,7.34,8.57,Yes
177,B737,3.66,7.0,No,5.9,7.68,Yes
178,B737,9.23,6.04,No,2.13,9.6,Yes
179,A350,8.25,7.59,No,5.39,4.28,Yes
180,B737,7.17,9.08,No,7.77,4.14,No
181,B737,6.98,5.07,No,4.99,7.0,No
182,B737,7.93,3.65,No,0.07,7.72,Yes
183,B787,9.76,4.86,No,7.47,6.33,Yes
184,B787,6.7,2.25,No,3.26,5.77,No
185,B737,6.1,8.91,Yes,9.62,7.73,No
186,A350,2.74,3.53,No,6.76,6.73,No
187,A380,6.86,2.83,Yes,9.82,2.68,No
188,B737,0.97,0.68,Yes,4.1,1.12,No
189,A320,1.17,1.84,No,3.01,5.79,Yes
190,B737,1.85,5.23,Yes,3.26,5.9,No
191,A320,6.47,3.9,No,6.62,7.88,Yes
192,B787,9.68,2.1,Yes,5.48,4.36,Yes
193,B737,2.73,8.87,No,2.72,5.48,No
194,A320,3.64,8.44,No,4.86,9.8,No
195,A320,6.67,9.95,No,1.46,1.81,No
196,A350,7.52,2.66,No,8.89,1.31,Yes
197,B787,7.08,5.91,Yes,6.41,7.75,No
198,A380,7.28,9.09,No,1.71,2.09,No
199,A350,9.18,2.64,Yes,8.74,3.65,Yes
200,A350,2.44,8.22,No,1.2,7.83,Yes
201,B787,0.44,3.28,No,5.63,4.96,Yes
202,B787,6.68,9.81,No,4.57,6.01,No
203,A380,5.72,8.86,No,7.9,6.41,Yes
204,A320,7.94,6.3,Yes,8.68,2.22,No
205,B787,1.99,2.14,No,0.39,2.9,Yes
206,A350,5.33,8.22,No,8.3,3.64,Yes
207,A320,8.92,0.97,Yes,9.88,9.07,No
208,A380,9.49,8.98,No,6.89,5.71,Yes
209,B787,5.06,6.42,No,7.38,8.66,Yes
210,A380,1.09,8.78,Yes,7.99,1.59,No
211,B737,5.07,2.37,Yes,2.34,4.48,Yes
212,A350,8.07,3.71,No,6.87,3.48,Yes
213,A350,5.74,7.43,Yes,6.11,9.59,Yes
214,A380,9.1,1.43,Yes,4.34,8.18,No
215,A350,3.29,7.59,No,9.44,7.04,No
216,A320,3.88,5.48,No,3.44,5.62,Yes
217,B737,8.35,0.44,Yes,4.32,1.47,No
218,A350,6.61,1.84,No,0.31,1.65,Yes
219,A350,0.42,9.31,Yes,4.83,4.02,No
220,A320,8.84,2.93,No,9.07,5.66,No
221,A320,8.43,2.56,No,4.65,8.29,Yes
222,A320,9.1,9.5,Yes,0.66,1.29,Yes
223,B787,8.19,6.8,Yes,8.36,2.04,No
224,B737,0.24,9.12,Yes,0.52,3.55,Yes
225,A320,0.26,9.45,No,1.44,1.12,No
226,A380,4.43,0.49,No,8.16,2.68,Yes
227,A350,9.3,7.62,Yes,4.84,7.95,No
228,A320,6.47,9.17,No,6.53,1.25,Yes
229,A320,1.14,7.24,Yes,9.96,3.05,Yes
230,A350,7.29,4.54,No,8.32,0.28,No
231,A380,9.15,6.28,Yes,4.31,3.14,Yes
232,A320,9.62,5.81,No,2.38,2.19,Yes
233,B737,1.24,6.24,Yes,3.42,4.06,Yes
234,A350,4.87,4.31,Yes,0.92,0.17,Yes
235,B787,1.8,1.64,Yes,2.72,2.32,Yes
236,B737,5.5,7.86,Yes,5.14,7.59,Yes
237,B737,3.97,8.72,Yes,6.88,7.37,Yes
238,A350,3.28,2.02,No,8.47,6.93,No
239,A320,4.96,8.04,No,6.67,3.67,No
240,A380,1.91,7.2,Yes,3.13,5.6,Yes
241,A320,6.05,9.37,No,6.85,7.89,Yes
242,B737,5.88,8.23,No,5.59,5.12,Yes
243,B737,8.27,2.15,Yes,2.09,1.17,No
244,A350,7.97,7.24,No,1.38,3.56,No
245,B737,4.8,3.47,Yes,5.0,7.04,Yes
246,A380,3.04,5.62,Yes,2.6,4.95,No
247,A380,2.88,3.66,Yes,6.47,6.54,Yes
248,B787,5.24,0.17,Yes,5.53,4.42,No
249,A320,2.63,8.57,Yes,3.8,3.2,Yes
250,A320,7.68,3.24,Yes,6.5,4.94,No
251,B737,7.79,3.58,Yes,3.42,1.61,Yes
252,B787,4.64,2.26,Yes,4.36,5.07,No
253,B737,0.32,5.21,Yes,5.53,1.68,No
254,A320,1.17,1.3,No,6.11,4.07,No
255,A380,0.2,3.66,No,0.62,0.43,Yes
256,A380,6.19,2.42,Yes,4.93,5.98,Yes
257,B787,8.24,8.81,Yes,3.24,6.02,Yes
258,A320,6.96,4.15,Yes,3.53,2.52,No
259,B787,2.36,9.95,Yes,6.71,5.27,No
260,A320,0.02,8.1,Yes,8.34,6.18,Yes
261,B737,4.46,3.5,No,3.14,2.63,Yes
262,B737,2.4,1.31,No,0.15,3.06,No
263,B787,7.84,0.44,Yes,1.52,1.31,No
264,B737,4.25,2.7,Yes,6.96,9.72,Yes
265,B737,6.08,5.72,No,3.97,7.64,No
266,A350,1.6,8.9,No,1.17,2.0,No
267,B787,6.78,4.74,Yes,4.18,7.08,No
268,B737,9.55,1.82,No,7.25,8.38,No
269,A380,6.07,0.12,No,7.73,9.93,Yes
270,B787,0.51,4.8,Yes,3.24,5.78,Yes
271,A350,9.96,4.52,Yes,5.8,9.55,No
272,B737,3.8,6.75,No,6.98,3.73,Yes
273,A380,3.4,1.26,No,6.62,9.06,Yes
274,B787,6.23,8.07,Yes,4.39,1.76,Yes
275,B787,6.27,2.2,Yes,0.65,5.48,Yes
276,A320,7.53,5.87,Yes,9.82,3.53,Yes
277,B737,4.25,9.97,No,7.12,0.54,No
278,A380,8.23,7.54,No,6.6,7.8,No
279,B787,7.52,9.73,No,4.37,6.77,No
280,A380,4.46,3.53,Yes,3.17,9.0,Yes
281,A350,2.32,8.25,No,3.36,6.6,Yes
282,B787,0.49,3.93,No,9.04,9.05,Yes
283,A320,8.95,7.34,No,2.11,2.18,Yes
284,B737,2.14,8.85,Yes,6.68,0.29,No
285,B737,6.84,1.14,Yes,2.88,1.28,Yes
286,A380,6.55,4.8,Yes,1.17,5.73,Yes
287,A380,3.29,1.26,No,2.77,7.57,No
288,B787,0.07,8.32,No,5.13,3.3,Yes
289,A380,8.36,1.44,Yes,9.17,5.09,No
290,A350,5.96,0.23,No,1.89,4.8,Yes
291,A380,0.34,7.95,Yes,9.03,8.73,Yes
292,B787,7.24,0.84,Yes,3.01,1.87,No
293,B737,1.12,8.41,Yes,0.8,6.34,No
294,A380,8.55,8.82,Yes,6.47,4.97,Yes
295,A320,5.73,2.82,Yes,3.41,3.2,No
296,A380,8.38,3.28,No,3.01,8.2,No
297,B787,9.26,7.03,No,1.97,8.24,Yes
298,A380,0.09,6.27,No,2.63,9.02,No
299,A350,0.2,5.63,Yes,6.88,8.36,Yes
300,B737,7.61,3.44,No,9.05,4.7,Yes
301,B787,3.5,1.47,Yes,5.96,4.2,No
302,A320,0.67,5.73,Yes,7.41,4.52,No
303,B787,7.05,1.62,No,7.63,2.85,No
304,B737,2.47,0.24,No,9.58,9.36,No
305,A350,8.47,9.44,Yes,1.88,6.77,Yes
306,A380,8.34,3.09,Yes,5.17,9.93,Yes
307,B737,1.17,6.86,Yes,9.0,8.39,Yes
308,A350,9.27,9.2,Yes,9.16,4.98,Yes
309,B737,9.72,0.88,No,6.75,2.4,Yes
310,A350,2.67,2.85,Yes,5.93,6.71,No
311,A380,4.44,4.16,Yes,6.6,5.54,No
312,B737,3.39,4.84,No,8.01,5.66,Yes
313,A380,7.11,0.8,No,5.11,5.69,No
314,B787,4.56,9.5,Yes,0.28,2.07,No
315,A350,3.12,6.11,No,5.38,9.62,Yes
316,A320,2.85,5.34,No,4.3,5.95,Yes
317,A350,1.49,0.21,No,2.82,1.39,No
318,B787,5.44,1.35,Yes,2.4,8.77,No
319,B737,0.8,8.03,Yes,2.2,1.38,Yes
