FlightID,AircraftType,FuelPlanned,FuelActual,RouteAdherence,PerformanceRating,GoAround,WeatherConditions,PilotEfficiency,OptimizedOperation
1,A350,1.25,3.6,6.24,2.34,Yes,Fog,8.86,Yes
2,B737,8.68,7.94,0.48,3.01,No,Fog,8.9,No
3,A350,0.27,7.69,7.32,7.28,No,Rain,9.62,No
4,B787,4.81,2.18,8.68,9.89,No,Snow,4.45,No
5,A320,1.1,4.46,5.99,7.06,Yes,Thunderstorm,8.01,No
6,B737,1.27,5.96,5.04,8.79,No,Clear,2.54,No
7,A320,4.2,9.84,1.49,1.66,No,Rain,1.34,Yes
8,B787,1.07,1.06,1.82,3.22,Yes,Fog,0.37,Yes
9,B787,2.46,2.5,1.97,7.49,No,Snow,7.17,Yes
10,A380,9.73,4.79,3.51,1.85,No,Thunderstorm,6.5,Yes
11,B737,8.37,8.1,9.06,0.04,No,Rain,6.63,No
12,A320,3.08,8.7,4.9,5.66,Yes,Snow,5.52,No
13,B787,9.22,2.91,8.49,0.81,No,Snow,4.55,Yes
14,A350,8.37,8.94,4.08,6.79,Yes,Fog,1.34,No
15,A320,4.98,0.88,1.12,7.16,Yes,Thunderstorm,5.91,No
16,B787,3.14,4.21,1.07,8.14,Yes,Fog,0.04,No
17,B737,2.61,4.16,3.08,9.12,No,Clear,5.85,No
18,B737,6.11,1.35,8.94,3.72,No,Rain,1.8,No
19,A320,9.8,8.12,7.74,2.98,No,Rain,0.04,Yes
20,B737,3.76,8.22,8.99,8.7,No,Thunderstorm,9.07,No
21,B787,8.88,7.4,7.05,8.05,Yes,Thunderstorm,2.75,No
22,B737,8.76,7.66,9.98,1.1,No,Thunderstorm,9.93,No
23,A350,0.34,0.55,4.86,0.69,Yes,Thunderstorm,4.98,Yes
24,B737,6.36,7.15,8.18,1.71,Yes,Fog,9.81,Yes
25,B737,2.93,8.27,7.89,5.18,Yes,Thunderstorm,6.41,No
26,B787,2.77,1.25,8.32,6.99,Yes,Fog,1.76,No
27,A320,7.63,0.76,8.82,2.99,No,Snow,6.72,No
28,B737,6.54,2.23,6.61,4.2,No,Clear,4.13,No
29,A380,6.85,2.42,8.83,9.32,Yes,Fog,8.84,Yes
30,B787,2.41,6.46,3.55,4.12,Yes,Snow,8.9,Yes
31,B737,5.74,0.89,0.44,5.42,Yes,Snow,6.67,Yes
32,A350,8.51,4.37,9.22,3.98,No,Thunderstorm,2.6,No
33,A320,3.32,8.98,8.54,4.93,Yes,Thunderstorm,2.21,Yes
34,A320,8.11,4.62,1.78,3.33,Yes,Fog,5.18,Yes
35,A350,0.32,9.55,9.88,7.92,No,Thunderstorm,6.62,Yes
36,B787,0.76,3.65,6.33,8.45,Yes,Clear,2.82,Yes
37,A320,6.45,6.35,9.47,8.45,Yes,Fog,5.27,Yes
38,B737,6.75,3.22,4.02,3.0,No,Fog,5.57,Yes
39,A320,3.0,7.12,9.48,4.61,Yes,Fog,5.89,No
40,A380,1.03,3.81,7.39,4.62,No,Thunderstorm,9.79,Yes
41,A350,7.35,1.03,8.41,1.62,No,Rain,2.42,No
42,A350,6.86,5.76,2.42,0.37,No,Fog,2.98,No
43,A320,0.98,1.94,1.09,3.33,Yes,Clear,5.34,Yes
44,B737,9.14,1.82,3.03,7.82,No,Snow,2.34,Yes
45,B787,7.94,8.8,6.32,6.12,Yes,Clear,7.42,Yes
46,B737,7.79,1.36,7.87,0.37,Yes,Snow,0.99,No
47,B737,4.29,8.83,3.52,0.69,No,Fog,2.48,Yes
48,A320,5.11,8.01,5.04,7.85,Yes,Snow,0.1,No
49,B737,0.07,4.17,3.49,6.89,Yes,Fog,2.36,No
50,A320,6.94,5.04,4.59,1.05,Yes,Snow,4.42,Yes
51,A320,7.5,2.07,3.61,6.94,Yes,Thunderstorm,4.8,Yes
52,A320,4.74,2.31,6.77,6.12,No,Snow,1.85,Yes
53,B737,4.1,8.23,9.62,5.4,Yes,Rain,9.24,No
54,B787,1.79,0.1,9.74,9.09,No,Fog,8.72,Yes
55,A320,4.48,9.13,5.77,2.21,No,Rain,0.79,Yes
56,A380,3.5,5.46,8.73,3.23,Yes,Snow,2.72,Yes
57,A380,2.56,5.3,3.97,9.21,No,Clear,9.67,No
58,A380,9.91,8.29,2.97,4.68,Yes,Fog,2.84,No
59,A380,0.65,5.96,8.91,4.8,Yes,Thunderstorm,6.0,Yes
60,A320,9.39,1.22,6.41,6.24,Yes,Rain,0.27,No
61,B787,9.5,1.45,1.95,0.23,Yes,Snow,3.94,Yes
62,A380,9.89,7.27,3.8,4.03,No,Thunderstorm,7.12,Yes
63,B737,8.54,5.34,5.79,7.57,No,Fog,5.06,No
64,A320,6.82,2.09,5.37,2.42,Yes,Thunderstorm,7.39,No
65,A320,3.07,5.77,5.77,7.81,Yes,Fog,6.79,Yes
66,A350,0.96,3.01,4.89,3.85,No,Snow,6.86,Yes
67,A350,6.81,4.48,8.4,1.86,No,Clear,6.95,Yes
68,A350,3.45,8.18,7.02,9.88,No,Snow,9.2,Yes
69,B787,9.13,9.01,6.85,6.33,Yes,Rain,7.83,Yes
70,B787,7.33,3.06,9.26,5.2,No,Rain,3.26,No
71,B787,4.61,1.7,2.01,8.17,No,Rain,8.78,No
72,B737,3.74,5.33,5.02,9.75,No,Rain,6.32,Yes
73,B737,6.53,0.91,8.54,9.0,No,Clear,0.21,No
74,A380,7.72,5.09,3.18,4.04,No,Clear,3.78,No
75,B787,9.27,0.62,5.93,5.21,No,Snow,0.55,Yes
76,A380,2.71,7.5,8.27,4.73,Yes,Rain,0.62,No
77,A350,9.58,9.81,1.27,6.95,No,Snow,9.46,Yes
78,A380,3.04,2.06,4.25,4.19,No,Thunderstorm,8.71,Yes
79,A380,3.98,3.1,3.9,2.26,No,Clear,4.02,No
80,B787,3.45,4.51,0.26,8.49,Yes,Rain,3.71,Yes
81,B737,0.87,9.22,2.18,1.09,Yes,Clear,5.64,No
82,B737,6.15,8.33,1.81,1.3,Yes,Rain,0.77,No
83,A380,4.56,5.22,0.35,4.51,Yes,Thunderstorm,8.67,Yes
84,B737,4.13,3.68,8.03,4.69,Yes,Rain,7.14,No
85,B787,9.46,3.33,1.82,6.34,Yes,Thunderstorm,4.02,No
86,A380,9.46,2.48,1.84,2.7,No,Clear,1.33,Yes
87,B737,5.34,1.13,5.69,6.12,Yes,Rain,9.55,No
88,B737,0.99,3.44,8.56,3.24,Yes,Fog,8.55,Yes
89,A320,3.7,2.86,7.09,8.98,Yes,Fog,4.18,No
90,A320,2.37,9.2,6.76,2.7,Yes,Clear,0.22,No
91,B737,0.18,1.13,0.22,5.53,No,Clear,0.71,No
92,A320,3.6,6.65,7.67,8.35,Yes,Rain,3.55,No
93,A350,1.32,4.54,7.88,4.42,No,Snow,8.26,No
94,A380,6.14,4.08,7.83,8.74,No,Snow,3.74,Yes
95,B787,6.44,0.97,3.97,0.86,Yes,Fog,2.44,No
96,A380,9.34,5.32,0.36,4.19,Yes,Clear,0.23,Yes
97,A320,0.78,3.76,7.74,7.71,No,Clear,8.25,No
98,A380,5.8,7.23,7.4,4.01,Yes,Rain,1.44,Yes
99,B787,9.27,1.11,0.48,1.01,Yes,Fog,8.98,Yes
100,A380,1.06,7.35,4.12,3.0,No,Rain,6.34,Yes
101,A320,3.39,0.03,5.09,4.62,Yes,Clear,7.48,No
102,A350,2.27,4.54,5.89,7.1,No,Thunderstorm,3.47,Yes
103,B787,8.26,2.24,8.94,6.35,No,Fog,4.2,No
104,B737,6.08,2.36,8.15,4.73,Yes,Thunderstorm,2.42,No
105,B737,1.54,2.18,4.58,0.04,No,Thunderstorm,7.94,No
106,B737,6.94,3.01,0.8,4.81,No,Rain,6.06,Yes
107,A320,9.45,4.14,7.28,1.08,Yes,Snow,1.51,No
108,B737,8.66,0.8,6.99,7.63,Yes,Thunderstorm,6.24,Yes
109,A380,1.65,5.83,3.86,1.39,No,Snow,8.37,Yes
110,A350,4.28,5.5,0.51,0.55,No,Clear,9.85,No
111,A320,7.0,0.59,8.19,5.76,Yes,Clear,5.56,No
112,B737,3.16,4.12,0.2,0.59,No,Clear,5.4,No
113,B737,2.82,3.7,9.03,3.87,Yes,Thunderstorm,7.34,Yes
114,A350,8.28,0.55,1.32,3.09,Yes,Clear,3.97,No
115,B737,5.24,4.6,6.95,8.2,Yes,Clear,9.3,No
116,A380,6.82,5.86,2.96,7.45,Yes,Clear,1.72,Yes
117,A320,5.61,3.75,1.04,4.45,No,Thunderstorm,5.04,Yes
118,A320,6.39,0.03,7.69,4.45,Yes,Clear,2.4,Yes
119,B787,7.19,6.57,3.42,3.71,No,Rain,7.22,No
120,A350,8.42,6.07,7.99,0.57,No,Snow,4.22,No
121,A350,1.87,6.12,2.81,2.72,No,Fog,2.34,No
122,A320,8.67,8.56,0.75,5.57,No,Snow,6.98,No
123,A380,2.91,4.54,7.52,4.32,No,Rain,7.35,No
124,A350,6.92,4.39,0.64,2.43,No,Fog,1.99,Yes
125,B737,2.66,9.18,3.82,5.7,No,Clear,9.84,Yes
126,B787,1.31,2.77,0.62,5.3,Yes,Snow,7.46,No
127,B787,1.14,5.96,8.89,5.94,Yes,Rain,2.1,No
128,A320,4.61,8.97,6.8,4.62,Yes,Rain,4.47,No
129,B737,8.3,0.84,8.83,3.13,No,Thunderstorm,1.53,Yes
130,B787,6.64,8.31,9.96,9.68,Yes,Fog,7.37,Yes
131,B787,6.46,9.13,6.58,6.21,No,Clear,6.61,No
132,A320,2.4,3.56,0.93,8.34,Yes,Thunderstorm,6.11,Yes
133,B737,8.35,2.5,9.73,0.17,No,Snow,5.73,No
134,A320,6.78,0.62,1.66,4.19,Yes,Thunderstorm,7.35,No
135,A320,9.98,1.71,5.18,4.27,No,Snow,8.04,Yes
136,A320,4.57,4.23,8.58,5.15,Yes,Snow,8.64,No
137,B787,0.07,8.7,4.16,7.78,No,Thunderstorm,0.38,Yes
138,A320,8.67,6.61,0.68,2.97,No,Rain,4.37,No
139,B737,5.26,7.79,4.61,2.4,Yes,Thunderstorm,0.74,Yes
140,A350,4.06,4.35,1.96,5.89,No,Fog,0.1,No
141,B737,5.15,2.57,4.97,5.24,Yes,Clear,1.05,No
142,B737,4.23,6.86,9.61,0.92,No,Clear,9.82,No
143,B787,7.12,8.19,9.66,3.65,No,Thunderstorm,2.59,Yes
144,B787,4.08,8.19,5.77,6.99,Yes,Clear,7.48,No
145,A320,3.27,4.97,2.8,9.44,No,Thunderstorm,2.14,Yes
146,A350,9.57,1.16,1.65,0.22,Yes,Rain,2.3,Yes
