FlightID,AircraftType,RouteAdherence,LandingQuality,PerformanceRating,ErrorsDetected,WeatherConditions,AirTrafficControlIssues,PilotExperience,FlightDuration,TailStrike,AccidentRisk
0,Type C,84,Average,85,4,Stormy,2,3219,2.9597204369552728,No,Highly Likely to Crash
1,Type A,86,Poor,64,1,Cloudy,3,16412,9.687752438807946,No,Highly Likely to Crash
2,Type C,68,Poor,81,3,Stormy,2,15967,8.077742410520399,Yes,Highly Likely to Crash
3,Type C,93,Good,78,5,Stormy,3,13424,5.173049353329663,Yes,Highly Likely to Crash
4,Type A,78,Good,59,1,Cloudy,0,9715,2.5616822319742347,No,Inconclusive
5,Type A,56,Good,70,5,Cloudy,2,17035,11.301957954412831,Yes,Highly Likely to Crash
6,Type C,77,Average,65,2,Clear,3,15741,6.3452718672780835,Yes,Inconclusive
7,Type B,58,Poor,96,5,Cloudy,0,1644,2.2114308818244695,Yes,Highly Likely to Crash
8,Type C,77,Average,68,4,Clear,1,5034,11.81905073581826,No,Highly Likely to Crash
9,Type C,55,Poor,78,0,Cloudy,0,15135,4.26052556877349,No,Highly Likely to Crash
10,Type C,78,Good,100,0,Stormy,0,1220,11.310328751877286,Yes,Inconclusive
11,Type C,66,Good,67,0,Clear,2,1506,8.908581603170314,Yes,Highly Likely to Crash
12,Type A,65,Good,93,5,Cloudy,1,11990,3.723406162106717,Yes,Highly Likely to Crash
13,Type C,72,Good,65,4,Clear,1,7599,2.069680180447088,No,Highly Likely to Crash
14,Type B,80,Poor,50,5,Clear,2,12811,9.30548621563676,Yes,Highly Likely to Crash
15,Type A,52,Good,97,3,Clear,0,1037,1.3529656513520032,Yes,Highly Likely to Crash
16,Type B,70,Poor,51,4,Stormy,3,16429,1.9165027880975796,No,Highly Likely to Crash
17,Type B,75,Poor,64,4,Cloudy,2,11516,10.831067147533808,Yes,Highly Likely to Crash
18,Type B,85,Average,88,5,Cloudy,0,3185,8.544233779618244,No,Highly Likely to Crash
