Pilot_ID,Flight_Hours,Training_Scores,Incident_Reports,Flight_Maneuver_Proficiency,Physiological_Data,Cognitive_Performance,Stress_Levels,Communication_Skills,Weather_Adaptability,Peer_Reviews,Simulator_Performance,Fatigue_Management,Final_Rating
1,57,6,82,95,15,10,30,23,11,61,99,90,14
1,21,68,8,70,31,71,47,77,71,96,91,76,53
1,90,5,82,3,45,12,55,1,16,45,60,34,57
1,18,47,99,86,13,38,14,80,38,84,89,24,68
1,67,5,31,61,12,29,11,84,9,34,60,79,67
1,50,66,83,17,58,33,79,38,15,27,87,86,79
1,84,74,53,12,49,6,15,90,32,89,71,74,24
1,47,85,92,18,88,36,72,86,44,15,26,56,58
1,17,78,74,5,65,41,2,25,87,6,13,20,31
1,36,6,84,98,80,25,61,77,100,96,67,47,92
1,13,38,83,51,28,16,88,7,7,45,52,89,70
1,10,49,44,63,56,38,77,56,23,11,32,88,88
2,61,42,38,18,26,85,84,68,83,11,40,88,14
2,64,72,17,97,63,6,49,88,43,82,8,80,41
2,42,4,51,9,7,44,5,18,67,35,43,82,71
2,87,0,16,55,95,5,25,34,31,46,85,90,42
2,96,11,3,22,99,76,97,100,12,12,74,22,81
2,29,57,7,27,36,30,80,3,83,76,96,35,10
2,82,81,89,79,27,72,29,67,97,17,25,45,13
2,27,20,30,61,94,54,18,33,100,32,32,35,70
2,89,77,57,41,94,52,0,96,62,28,6,65,64
2,45,13,39,41,18,34,4,58,48,97,70,67,11
2,1,27,51,47,59,45,40,57,6,15,37,16,6
2,18,9,82,73,85,21,79,95,83,83,69,72,4
3,15,64,0,19,84,78,54,10,30,76,22,8,74
3,92,58,33,0,17,39,45,62,22,4,73,19,41
3,10,25,59,20,21,10,1,88,31,21,54,24,99
3,62,39,29,8,93,84,35,60,60,64,10,25,41
3,49,36,26,79,31,36,84,51,98,26,81,13,60
3,48,2,69,39,54,97,94,97,92,89,20,66,85
3,100,90,52,87,74,52,11,80,27,23,33,2,61
3,68,17,38,16,73,77,64,95,89,43,78,12,9
3,72,33,29,54,27,95,65,15,37,48,20,42,57
3,92,72,31,2,7,4,22,77,10,25,9,88,98
3,28,55,46,99,5,35,35,51,21,64,79,88,34
3,52,73,52,64,94,82,94,67,77,95,95,33,59
4,37,66,5,12,58,68,35,68,57,1,63,70,44
4,1,22,14,19,42,11,66,90,3,83,93,65,97
4,75,47,81,66,98,62,22,35,59,74,33,68,68
4,4,34,98,31,84,25,2,0,25,27,17,70,0
4,72,60,30,18,71,43,29,78,67,55,58,6,62
4,85,51,63,10,79,71,11,98,99,16,94,1,60
4,65,15,100,59,26,92,13,76,25,86,79,67,97
4,9,15,11,95,72,49,56,62,62,14,59,100,97
4,77,14,89,87,0,55,78,4,28,69,86,97,14
4,22,18,88,85,49,47,1,11,15,13,35,26,24
4,37,98,57,100,7,91,38,99,6,95,49,55,21
4,54,78,12,8,70,36,43,41,61,84,63,16,23
5,95,86,49,32,84,25,77,12,83,93,30,25,73
5,92,35,71,60,51,59,10,73,99,72,33,17,51
5,91,52,20,37,62,35,32,37,22,69,29,72,100
5,82,77,24,28,68,20,37,76,68,45,88,14,48
5,1,20,34,26,31,38,9,2,41,37,68,98,89
5,22,38,2,81,79,44,84,83,77,78,1,98,31
5,18,20,1,68,45,62,58,30,85,30,99,69,42
5,14,84,80,23,14,44,17,71,94,38,6,79,52
5,60,31,40,73,2,39,83,12,37,7,74,77,0
5,2,78,17,86,28,51,81,30,56,41,30,11,55
5,63,100,54,90,99,76,56,17,85,100,30,83,59
5,25,18,18,41,83,93,4,53,96,8,62,30,16
6,5,98,5,11,84,36,94,87,94,77,75,39,93
6,91,53,99,51,97,96,30,31,13,60,14,22,13
6,62,61,90,55,94,46,71,42,67,67,29,82,21
6,29,74,76,77,48,24,5,19,45,69,64,8,84
6,57,3,11,5,91,15,72,81,86,79,45,39,94
6,42,75,83,16,2,65,36,97,38,50,14,90,74
6,58,35,26,31,55,77,19,62,94,6,1,84,59
6,6,11,52,10,36,23,43,57,31,36,100,88,52
6,53,87,99,87,34,56,79,44,31,57,22,5,29
6,80,35,61,18,38,20,63,48,25,44,44,82,12
6,82,37,14,73,13,55,93,53,18,93,54,25,86
6,95,98,46,29,14,17,64,34,67,16,83,8,76
7,55,36,0,72,60,93,6,91,52,15,25,26,68
7,97,21,70,88,29,93,66,16,0,95,65,60,99
7,26,80,4,91,32,2,66,89,23,99,72,64,11
7,47,13,81,57,46,30,59,38,61,88,82,31,14
7,2,98,64,32,88,5,74,18,57,13,26,24,98
7,15,39,38,73,31,38,45,13,29,12,65,86,21
7,84,25,15,6,21,85,91,49,79,10,86,38,68
7,83,16,6,62,50,36,7,72,52,2,70,23,35
7,9,19,86,96,25,25,4,84,68,97,10,6,63
7,15,35,50,31,40,42,23,6,7,73,68,18,79
7,10,40,27,66,60,69,28,66,40,99,52,27,41
7,61,30,6,22,64,81,39,77,22,48,89,51,92
8,94,1,74,80,47,85,61,3,76,98,27,39,0
8,26,61,57,88,98,48,22,40,12,71,29,77,38
8,31,8,25,50,15,25,54,17,31,7,95,92,49
8,26,27,36,50,4,83,69,85,95,10,22,97,1
8,67,68,99,85,84,88,12,4,9,93,59,79,22
8,71,91,39,34,59,8,30,76,22,41,92,97,98
8,75,67,40,73,76,36,10,21,56,88,88,18,26
8,35,81,54,37,27,6,71,21,76,6,2,83,53
8,28,90,23,13,31,41,20,55,49,98,9,5,95
8,39,12,93,84,100,29,84,72,11,6,70,49,65
8,10,0,51,90,75,85,5,55,13,35,46,38,6
8,94,32,91,34,37,85,41,67,18,100,44,56,76
9,61,77,9,50,88,97,38,77,85,86,52,62,71
9,63,66,2,17,51,7,88,38,84,16,97,39,17
9,28,9,93,78,75,23,31,28,95,30,38,24,54
9,93,24,8,73,83,18,85,42,56,70,1,50,98
9,72,13,49,45,91,60,49,3,15,98,36,18,87
9,5,11,3,62,76,19,79,33,3,93,32,95,83
9,95,60,1,89,52,23,42,2,75,11,10,83,40
9,85,30,36,12,32,21,28,79,22,55,100,94,58
9,31,93,76,1,45,2,87,25,44,97,96,27,65
9,78,59,75,16,20,4,31,93,20,71,92,93,15
9,84,34,6,97,68,97,42,97,17,99,9,55,2
9,48,98,4,1,44,87,60,7,21,12,1,60,31
10,99,100,68,55,3,33,74,48,25,97,63,62,96
10,48,26,80,49,91,64,90,10,8,95,29,49,30
10,58,82,40,82,21,50,73,21,63,12,59,94,100
10,63,13,88,85,84,95,3,92,85,57,55,19,17
10,17,22,64,12,38,84,19,80,82,62,96,16,18
10,37,89,80,72,69,7,10,47,75,47,1,0,19
10,21,86,50,96,97,3,74,98,25,49,48,84,81
10,100,88,85,94,20,47,3,52,87,22,53,46,38
10,56,59,30,32,90,78,25,6,58,62,50,18,33
10,100,60,53,64,19,11,52,61,2,48,74,48,67
10,83,91,67,89,49,25,1,100,51,99,17,23,63
10,15,54,49,92,39,36,21,63,56,0,90,21,75
11,94,59,27,14,88,94,11,57,59,75,64,100,25
11,67,100,53,85,55,5,22,10,95,100,97,38,5
11,11,13,51,10,72,45,14,59,29,75,1,57,91
11,79,7,78,4,52,96,20,93,41,43,18,78,29
11,1,0,42,2,32,30,85,18,30,91,52,31,53
11,9,58,40,90,30,71,85,56,91,8,99,19,10
11,24,70,40,89,64,93,58,33,22,23,33,80,84
11,14,29,90,34,69,91,70,84,72,16,54,90,88
11,83,81,18,32,29,72,37,94,49,87,3,93,86
11,23,49,29,91,31,56,13,31,59,9,24,30,60
11,91,57,58,72,15,99,41,4,38,45,91,7,51
11,58,0,67,8,76,39,21,57,30,37,4,2,90
12,24,26,18,60,62,51,13,96,68,20,52,55,76
12,96,52,25,71,43,29,0,82,25,2,3,48,73
12,25,31,60,15,77,84,4,72,53,78,32,58,63
12,86,53,57,97,60,45,54,11,78,20,19,44,67
12,42,49,5,31,88,38,20,11,21,50,51,26,22
12,69,29,96,53,54,43,40,51,97,50,66,25,82
12,52,44,33,14,70,69,85,77,56,84,61,46,15
12,66,89,81,41,99,56,19,20,33,36,21,75,15
12,75,15,69,11,98,90,40,13,48,72,53,31,41
12,42,1,7,5,1,5,17,29,51,63,64,86,21
12,19,0,10,48,83,63,45,33,61,74,94,60,85
12,95,91,92,38,34,100,87,18,73,61,91,33,22
13,63,64,75,2,3,17,56,60,90,24,57,66,36
13,10,84,13,44,78,19,15,0,89,41,100,66,73
13,23,4,64,97,72,53,16,87,32,41,2,93,13
13,44,64,80,53,100,20,98,90,6,58,83,30,49
13,15,57,11,77,96,72,94,98,52,11,54,99,52
13,53,24,4,83,93,23,81,41,92,47,24,32,9
13,65,63,36,7,70,22,94,5,34,90,46,54,57
13,26,48,81,4,42,76,49,83,67,97,90,24,47
13,75,11,84,51,99,47,93,80,84,61,22,77,21
13,26,24,46,71,11,52,63,71,45,53,44,72,97
13,85,84,11,12,75,54,17,3,28,22,30,56,85
13,23,94,83,56,63,34,2,97,86,22,39,77,2
14,41,83,35,33,81,59,17,91,73,82,20,86,92
14,86,81,93,61,99,10,0,41,12,56,12,90,42
14,16,15,63,95,7,77,95,72,2,33,1,18,7
14,8,22,21,4,42,59,100,36,29,93,21,23,55
14,53,12,93,17,56,33,26,73,78,27,57,94,69
14,42,37,89,56,75,9,99,65,68,44,63,31,48
14,1,12,69,59,73,51,35,25,92,24,90,19,37
14,57,1,22,95,18,88,59,71,7,98,95,4,85
